experiment_id,subject_id,note,random_seed,created_at,order_index,block_index,condition_id,mode,direction_percent,first_half_direction_percent,second_half_direction_percent,pulse_duration_ms,pulse_phase,sine_amplitude_percent,sine_period_steps
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,1,0,B01,baseline,,,,,,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,2,1,C11,pulse,20,-20,20,200,P_end,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,3,1,C04,pulse,10,-10,10,250,P_start,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,4,1,C07,pulse,10,10,-10,300,P_start,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,5,1,C17,pulse,20,20,-20,300,P_end,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,6,1,C15,pulse,20,-20,20,250,P_mid,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,7,1,C25,pulse,0,0,0,300,P_start,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,8,2,C22,pulse,0,0,0,250,P_start,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,9,2,C18,pulse,20,-20,20,300,P_mid,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,10,2,C09,pulse,10,-10,10,300,P_mid,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,11,2,C20,pulse,0,0,0,200,P_end,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,12,2,C13,pulse,20,20,-20,250,P_start,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,13,2,C19,pulse,0,0,0,200,P_start,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,14,3,C24,pulse,0,0,0,250,P_mid,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,15,3,C08,pulse,10,-10,10,300,P_end,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,16,3,C01,pulse,10,10,-10,200,P_start,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,17,3,S01,sine,,,,,P_mid,20,400
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,18,3,C23,pulse,0,0,0,250,P_end,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,19,3,C16,pulse,20,20,-20,300,P_start,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,20,4,C12,pulse,20,20,-20,200,P_mid,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,21,4,C03,pulse,10,-10,10,200,P_mid,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,22,4,C26,pulse,0,0,0,300,P_end,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,23,4,C06,pulse,10,-10,10,250,P_mid,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,24,4,C02,pulse,10,10,-10,200,P_end,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,25,4,C14,pulse,20,-20,20,250,P_end,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,26,5,C27,pulse,0,0,0,300,P_mid,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,27,5,C21,pulse,0,0,0,200,P_mid,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,28,5,C10,pulse,20,20,-20,200,P_start,,
EX0522-092422,1,,60697,2026-05-22T09:24:22.484317,29,5,C05,pulse,10,10,-10,250,P_end,,
