condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,58,58,0,58,111960.558,-0.519,0.018,0.239,-0.821,0,0,0,0,0,0,0,2,31,0.000,1,VALID,23,0,62.456,11.467,-51.063,17.125,31.625,0.453,0.375,1.438,3.949,-10.766,-0.270,0.590,0.526,0.971,0.999,0,NULL,NULL,1052.000,0,0,0,7,255,0,250,0,0
baseline,62,62,0,62,111965.546,-0.520,0.019,0.240,-0.819,0,0,0,0,0,0,0,5,31,0.000,1,VALID,23,0,43.880,11.467,-18.063,8.563,39.063,0.473,0.262,1.320,3.949,-10.766,-0.270,0.570,0.496,0.971,0.999,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,67,67,0,67,111970.554,-0.521,0.019,0.240,-0.819,0,0,0,0,0,0,0,4,31,0.000,1,VALID,23,0,36.893,10.592,3.125,-0.875,36.750,0.473,0.270,1.324,3.098,-10.129,-0.582,0.554,0.468,0.971,0.999,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,72,72,0,72,111975.554,-0.523,0.020,0.239,-0.818,0,0,0,0,0,0,0,5,31,0.000,1,VALID,23,0,48.580,10.504,22.125,-10.063,42.063,0.465,0.246,1.234,2.988,-10.070,-0.598,0.540,0.442,0.971,0.999,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,77,77,0,77,111980.545,-0.524,0.020,0.237,-0.818,0,0,0,0,0,0,0,7,31,0.000,1,VALID,23,0,62.701,9.986,45.563,-19.688,38.313,0.492,0.188,1.094,2.730,-9.605,-1.234,0.526,0.418,0.971,0.999,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,82,82,0,82,111985.545,-0.526,0.021,0.234,-0.817,0,0,0,0,0,0,0,4,31,0.000,1,VALID,23,0,70.694,9.217,51.938,-28.000,38.938,0.473,0.172,1.051,1.762,-9.047,-2.297,0.514,0.394,0.971,0.999,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,87,87,0,87,111990.541,-0.528,0.022,0.231,-0.817,0,0,0,0,0,0,0,3,31,0.000,1,VALID,23,0,83.099,8.812,65.938,-34.875,36.625,0.488,0.176,0.918,1.609,-8.664,-2.504,0.504,0.374,0.971,0.999,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,92,92,0,92,111995.551,-0.529,0.022,0.228,-0.817,0,0,0,0,0,0,0,3,31,0.000,1,VALID,23,0,86.493,8.334,67.750,-41.188,34.563,0.480,0.109,0.898,1.285,-8.234,-3.566,0.494,0.352,0.971,0.999,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,97,97,0,97,112000.547,-0.531,0.022,0.224,-0.817,0,0,0,0,0,0,0,2,31,0.000,1,VALID,23,0,92.136,7.928,74.188,-45.375,30.438,0.465,0.156,0.848,1.039,-7.859,-3.684,0.484,0.332,0.971,0.999,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,102,102,0,102,112005.546,-0.532,0.023,0.220,-0.817,0,0,0,0,0,0,0,4,31,0.000,1,VALID,23,0,95.517,7.667,76.500,-49.000,29.500,0.457,0.039,0.805,0.680,-7.637,-4.016,0.476,0.312,0.971,0.999,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
