condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,32,32,0,32,361910.529,0.988,0.061,-0.016,-0.143,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,26.780,0.420,-12.625,22.688,6.563,-0.070,-0.152,0.945,-0.121,-0.402,-0.523,0.000,0.000,0.000,0.000,0,NULL,NULL,1052.000,2,0,2,1,255,1052,200,0,0
pre_stim,37,37,0,37,361915.529,0.988,0.061,-0.017,-0.143,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,24.703,0.962,-8.188,23.250,-1.625,-0.105,-0.023,0.941,-0.656,0.703,-0.621,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,42,42,0,42,361920.529,0.988,0.062,-0.018,-0.143,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,29.626,0.327,-12.813,24.563,10.500,-0.078,-0.137,0.914,-0.145,-0.293,-0.621,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,47,47,0,47,361925.529,0.988,0.063,-0.019,-0.143,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,26.564,0.886,-9.625,24.688,-1.875,-0.098,-0.039,0.973,-0.586,0.664,-0.621,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,52,52,0,52,361930.529,0.987,0.063,-0.020,-0.143,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,29.416,0.526,-10.438,26.313,8.000,-0.109,-0.125,0.879,-0.441,-0.285,-0.734,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,57,57,0,57,361935.529,0.987,0.064,-0.021,-0.144,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,30.330,0.797,-12.875,26.813,5.938,-0.055,-0.051,1.008,-0.441,0.664,-0.277,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,62,62,0,62,361940.529,0.987,0.064,-0.022,-0.144,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,28.698,0.471,-7.313,27.750,-0.125,-0.113,-0.117,0.895,-0.441,-0.164,-0.926,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,67,67,0,67,361945.529,0.987,0.065,-0.024,-0.144,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,33.432,0.378,-13.250,29.125,9.688,-0.066,-0.078,0.926,-0.117,0.359,-0.688,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,72,72,0,72,361950.529,0.987,0.066,-0.025,-0.144,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,31.895,0.378,-9.750,30.188,3.313,-0.031,-0.063,0.961,-0.117,0.359,-0.688,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,77,77,0,77,361955.529,0.987,0.066,-0.026,-0.144,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,32.913,0.378,-9.938,31.375,0.313,-0.102,-0.121,0.871,-0.117,0.359,-0.688,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,82,82,0,82,361960.529,0.987,0.067,-0.028,-0.144,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,36.813,0.650,-13.313,33.188,8.750,-0.043,-0.055,0.891,0.109,0.641,-1.094,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,87,87,0,87,361965.529,0.987,0.068,-0.029,-0.144,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,37.097,0.650,-13.375,34.438,3.375,0.004,-0.059,0.930,0.109,0.641,-1.094,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,92,92,0,92,361970.529,0.987,0.068,-0.030,-0.144,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,38.153,0.657,-12.875,35.875,-1.688,-0.063,-0.117,0.867,0.145,0.641,-1.094,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,97,97,0,97,361975.529,0.987,0.069,-0.032,-0.144,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,41.508,0.637,-16.375,37.875,4.500,-0.035,-0.059,0.832,0.250,0.586,-1.215,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,102,102,0,102,361980.529,0.986,0.070,-0.033,-0.144,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,44.622,0.637,-19.625,39.938,3.313,0.039,-0.047,0.879,0.250,0.586,-1.281,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,107,107,0,107,361985.530,0.986,0.071,-0.035,-0.144,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,46.527,1.043,-20.563,41.563,-3.813,0.012,-0.105,0.891,0.863,0.586,-1.281,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,112,112,0,112,361990.529,0.986,0.072,-0.037,-0.144,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,48.062,1.016,-20.875,43.188,-3.000,-0.020,-0.078,0.840,0.863,0.535,-1.281,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,117,117,0,117,361995.529,0.986,0.074,-0.038,-0.143,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,50.817,1.016,-24.188,44.688,-0.563,0.035,-0.035,0.824,0.863,0.535,-1.563,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,122,122,0,122,362000.529,0.986,0.075,-0.040,-0.143,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,54.248,1.435,-28.188,46.188,-3.875,0.074,-0.055,0.883,0.934,1.090,-1.563,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,127,127,0,127,362005.529,0.986,0.076,-0.041,-0.143,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,55.200,1.779,-27.938,47.063,-7.188,0.074,-0.078,0.918,1.406,1.090,-1.281,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,132,132,0,132,362010.529,0.986,0.078,-0.043,-0.142,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,55.147,1.867,-27.125,47.375,-7.813,0.082,-0.051,0.879,1.484,1.133,-1.281,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,137,137,0,137,362015.530,0.986,0.079,-0.045,-0.142,0,0,0,0,3,0,0,0,0,0.000,0,WARMING_UP,157,0,56.563,1.948,-29.438,47.500,-8.750,0.113,-0.027,0.852,1.520,1.219,-1.355,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,142,142,0,142,362020.529,0.986,0.081,-0.047,-0.141,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,58.251,2.311,-31.938,47.625,-10.250,0.141,-0.027,0.883,1.734,1.527,-1.426,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,147,147,0,147,362025.529,0.985,0.082,-0.048,-0.141,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,58.188,2.642,-31.813,47.375,-11.375,0.172,-0.031,0.906,2.039,1.680,-1.426,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,152,152,0,152,362030.529,0.985,0.084,-0.050,-0.140,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,57.900,2.977,-31.563,46.750,-13.063,0.199,-0.016,0.906,2.379,1.789,-1.316,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,157,157,0,157,362035.529,0.985,0.086,-0.052,-0.139,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,157,0,57.639,3.337,-31.625,45.875,-14.750,0.219,0.012,0.891,2.633,2.051,-1.316,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,162,162,0,162,362040.529,0.985,0.088,-0.053,-0.138,0,0,0,0,2,0,0,0,0,0.000,0,WARMING_UP,157,0,57.754,3.605,-32.688,45.063,-15.375,0.246,0.020,0.883,2.762,2.316,-1.539,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,167,167,0,167,362045.529,0.985,0.089,-0.055,-0.137,0,0,0,0,1,0,0,0,0,0.000,0,WARMING_UP,157,0,57.640,3.891,-33.125,44.375,-16.000,0.277,0.020,0.887,3.004,2.473,-1.648,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,172,172,0,172,362050.529,0.985,0.091,-0.057,-0.137,0,0,0,0,3,0,0,0,0,0.000,0,WARMING_UP,157,0,57.400,4.225,-32.875,43.875,-17.000,0.301,0.031,0.891,3.332,2.598,-1.660,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,177,177,0,177,362055.529,0.985,0.093,-0.058,-0.136,0,0,0,0,2,0,0,0,0,0.000,0,WARMING_UP,157,0,56.775,4.524,-32.500,43.313,-17.063,0.320,0.051,0.887,3.543,2.813,-1.695,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,182,182,0,182,362060.529,0.985,0.094,-0.060,-0.135,0,0,0,0,3,0,0,0,0,0.000,0,WARMING_UP,157,0,56.110,4.805,-32.500,42.563,-16.750,0.344,0.059,0.887,3.715,3.047,-1.816,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,187,187,0,187,362065.529,0.984,0.096,-0.061,-0.134,0,0,0,0,2,0,0,0,0,0.000,0,WARMING_UP,157,0,55.034,5.078,-32.063,41.500,-16.688,0.363,0.066,0.891,3.938,3.207,-1.902,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,192,192,0,192,362070.529,0.984,0.098,-0.063,-0.133,0,0,0,0,2,0,0,0,0,0.000,0,WARMING_UP,157,0,53.203,5.318,-31.313,40.000,-15.813,0.379,0.074,0.898,4.113,3.371,-1.902,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,197,197,0,197,362075.530,0.984,0.099,-0.064,-0.133,0,0,0,0,1,0,0,0,0,0.000,0,WARMING_UP,157,0,50.555,5.517,-29.938,38.188,-14.188,0.395,0.082,0.906,4.258,3.508,-1.883,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,202,202,0,202,362080.529,0.984,0.101,-0.066,-0.132,0,0,0,0,5,0,0,0,0,0.000,0,WARMING_UP,157,0,47.276,5.755,-28.375,35.688,-12.500,0.414,0.090,0.918,4.422,3.684,-1.863,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,207,207,0,207,362085.529,0.984,0.102,-0.067,-0.131,0,0,0,0,0,0,0,1,0,0.000,0,WARMING_UP,157,0,43.817,6.002,-27.125,32.750,-10.563,0.422,0.094,0.980,4.609,3.844,-1.816,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,212,212,0,212,362090.529,0.983,0.108,-0.065,-0.130,0,0,0,53,0,0,0,2,0,0.000,0,WARMING_UP,157,0,150.047,6.120,-142.938,-9.563,-44.625,0.824,-0.691,3.555,4.762,3.844,-1.277,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,217,217,0,217,362095.529,0.984,0.107,-0.062,-0.126,0,0,0,102,0,0,0,53,0,0.000,0,WARMING_UP,157,0,114.242,13.382,26.375,-65.063,-90.125,1.582,-0.250,4.230,12.758,4.039,24.133,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,222,222,0,222,362100.529,0.986,0.094,-0.061,-0.124,154,0,0,268,0,0,0,99,0,0.000,0,WARMING_UP,157,0,305.421,13.288,295.688,-62.438,-44.188,0.555,0.199,-0.211,12.758,3.715,24.133,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,227,227,0,227,362105.531,0.986,0.091,-0.058,-0.123,247,0,0,435,0,0,0,105,0,0.000,0,WARMING_UP,157,0,97.967,11.367,49.938,-81.938,-19.750,1.152,-0.195,-0.680,11.031,2.742,-12.879,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,232,232,0,232,362110.529,0.987,0.092,-0.053,-0.119,457,0,0,570,0,0,0,87,0,0.000,0,WARMING_UP,157,0,137.166,11.040,-29.313,-83.563,-104.750,1.301,-1.184,1.602,11.031,-0.449,-12.879,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,237,237,0,237,362115.529,0.989,0.088,-0.050,-0.110,681,0,0,791,0,0,0,73,0,0.000,0,WARMING_UP,157,0,248.417,12.120,101.063,-74.438,-214.375,0.090,-1.359,1.910,11.031,-5.020,6.109,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,1,255,1052,200,0,0
pre_stim,242,242,0,242,362120.529,0.990,0.081,-0.047,-0.103,915,0,0,1031,0,0,0,87,0,0.000,0,WARMING_UP,157,0,236.159,7.275,163.750,-62.563,-158.250,-0.758,-0.176,1.043,5.266,-5.020,6.109,0.000,0.000,0.000,0.000,1,NULL,NULL,,2,0,2,1,255,1052,200,0,0
