condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,7,7,0,7,771330.529,-0.882,-0.000,-0.001,0.470,2969,1622,2333,3134,2477,2649,1767,2336,32,0.000,1,VALID,456,1,5.598,0.059,-0.063,0.625,-5.563,0.035,-0.016,0.996,0.035,-0.047,-0.035,0.040,0.078,0.724,0.691,2,NULL,NULL,1052.000,2,0,2,7,255,1052,200,0,0
pre_stim,12,12,0,12,771335.529,-0.883,-0.000,-0.001,0.470,2965,1623,2317,3143,2471,2651,1764,2331,32,0.000,1,VALID,456,1,7.349,0.062,-0.375,0.625,-7.313,0.027,-0.008,0.996,0.035,-0.051,-0.043,0.040,0.078,0.724,0.691,2,NULL,NULL,,2,0,2,7,255,1052,200,0,0
pre_stim,17,17,0,17,771340.529,-0.883,-0.000,-0.001,0.470,2979,1605,2293,3143,2431,2633,1753,2315,32,0.000,1,VALID,456,1,6.320,0.077,-0.750,0.563,-6.250,0.023,-0.012,1.004,-0.055,-0.055,-0.043,0.042,0.078,0.724,0.691,2,NULL,NULL,,2,0,2,7,255,1052,200,0,0
pre_stim,22,22,0,22,771345.529,-0.883,-0.000,-0.001,0.470,2970,1623,2299,3145,2459,2650,1753,2333,32,0.000,1,VALID,456,1,6.793,0.133,-0.625,0.438,-6.750,0.023,-0.020,1.004,-0.055,-0.121,0.004,0.042,0.078,0.724,0.691,2,NULL,NULL,,2,0,2,7,255,1052,200,0,0
pre_stim,27,27,0,27,771350.529,-0.883,-0.001,-0.001,0.469,2978,1617,2295,3143,2452,2659,1748,2325,32,0.000,1,VALID,456,1,5.935,0.154,-0.750,0.375,-5.875,0.023,-0.031,1.016,0.020,-0.152,0.023,0.042,0.080,0.724,0.691,2,NULL,NULL,,2,0,2,7,255,1052,200,0,0
pre_stim,32,32,0,32,771355.529,-0.883,-0.001,-0.001,0.469,2980,1595,2269,3144,2411,2632,1735,2311,32,0.000,1,VALID,456,1,6.197,0.215,0.125,0.313,-6.188,0.027,-0.035,1.012,0.098,-0.191,0.105,0.042,0.080,0.724,0.691,2,NULL,NULL,,2,0,2,7,255,1052,200,0,0
pre_stim,37,37,0,37,771360.530,-0.883,-0.001,-0.001,0.469,2985,1610,2279,3153,2439,2645,1727,2324,32,0.000,1,VALID,456,1,6.211,0.215,0.438,0.313,-6.188,0.031,-0.023,1.004,0.098,-0.191,0.105,0.042,0.080,0.724,0.691,2,NULL,NULL,,2,0,2,7,255,1052,200,0,0
pre_stim,42,42,0,42,771365.529,-0.883,-0.001,-0.001,0.469,2969,1595,2274,3143,2443,2657,1727,2330,32,0.000,1,VALID,456,1,6.837,0.143,0.438,0.375,-6.813,0.031,-0.020,1.004,0.082,-0.117,0.035,0.042,0.080,0.724,0.691,2,NULL,NULL,,2,0,2,7,255,1052,200,0,0
pre_stim,47,47,0,47,771370.529,-0.884,-0.000,-0.001,0.468,2969,1579,2248,3143,2392,2629,1721,2311,32,0.000,1,VALID,456,1,6.727,0.125,0.688,0.250,-6.688,0.020,-0.012,1.004,0.043,-0.117,0.020,0.040,0.080,0.724,0.691,2,NULL,NULL,,2,0,2,7,255,1052,200,0,0
pre_stim,52,52,0,52,771375.529,-0.884,-0.000,-0.001,0.468,2973,1581,2255,3157,2439,2640,1717,2331,32,0.000,1,VALID,456,1,5.830,0.114,0.375,0.250,-5.813,0.035,-0.023,1.004,0.043,-0.105,0.008,0.040,0.080,0.724,0.691,2,NULL,NULL,,2,0,2,7,255,1052,200,0,0
pre_stim,57,57,0,57,771380.529,-0.884,-0.000,-0.001,0.468,2968,1583,2247,3141,2431,2637,1709,2319,32,0.000,1,VALID,456,1,7.760,0.125,0.313,0.250,-7.750,0.031,-0.023,1.004,0.078,-0.098,0.008,0.040,0.080,0.724,0.691,2,NULL,NULL,,2,0,2,7,255,1052,200,0,0
pre_stim,62,62,0,62,771385.529,-0.884,-0.000,-0.001,0.468,2975,1572,2249,3147,2423,2657,1704,2324,32,0.000,1,VALID,456,1,7.207,0.125,0.500,0.188,-7.188,0.023,-0.023,1.008,0.078,-0.098,0.020,0.040,0.080,0.724,0.691,2,NULL,NULL,,2,0,2,7,255,1052,200,0,0
pre_stim,67,67,0,67,771390.529,-0.884,-0.000,-0.001,0.467,2969,1564,2235,3143,2426,2635,1701,2325,32,0.000,1,VALID,456,1,6.909,0.144,1.125,0.250,-6.813,0.035,-0.027,1.008,0.078,-0.121,0.070,0.040,0.080,0.724,0.691,2,NULL,NULL,,2,0,2,7,255,1052,200,0,0
pre_stim,72,72,0,72,771395.529,-0.884,-0.000,-0.001,0.467,2969,1562,2223,3143,2411,2643,1695,2323,32,0.000,1,VALID,456,1,8.234,0.139,1.313,0.250,-8.125,0.027,-0.023,1.004,0.051,-0.129,0.070,0.040,0.080,0.724,0.691,2,NULL,NULL,,2,0,2,7,255,1052,200,0,0
pre_stim,77,77,0,77,771400.529,-0.884,-0.000,-0.001,0.467,2973,1555,2223,3136,2420,2643,1693,2317,32,0.000,1,VALID,456,1,7.542,0.139,1.250,0.063,-7.438,0.016,-0.020,1.008,0.051,-0.129,0.066,0.040,0.080,0.724,0.691,2,NULL,NULL,,2,0,2,7,255,1052,200,0,0
pre_stim,82,82,0,82,771405.529,-0.885,-0.000,-0.001,0.467,2969,1557,2223,3153,2418,2636,1699,2318,32,0.000,1,VALID,456,1,6.657,0.217,1.438,0.063,-6.500,0.027,-0.031,1.008,0.051,-0.211,0.055,0.040,0.080,0.724,0.691,2,NULL,NULL,,2,0,2,7,255,1052,200,0,0
pre_stim,87,87,0,87,771410.530,-0.885,-0.000,-0.001,0.466,2951,1546,2229,3135,2405,2637,1691,2303,32,0.000,1,VALID,456,1,7.575,0.221,1.438,-0.063,-7.438,0.023,-0.027,1.012,0.066,-0.211,0.066,0.040,0.080,0.724,0.691,2,NULL,NULL,,2,0,2,7,255,1052,200,0,0
pre_stim,92,92,0,92,771415.529,-0.885,-0.000,-0.001,0.466,2953,1561,2219,3140,2422,2623,1693,2328,32,0.000,1,VALID,456,1,6.463,0.221,2.063,-0.063,-6.125,0.016,-0.027,1.012,0.066,-0.211,0.078,0.040,0.080,0.724,0.691,2,NULL,NULL,,2,0,2,7,255,1052,200,0,0
pre_stim,97,97,0,97,771420.529,-0.885,-0.000,-0.001,0.466,2952,1553,2221,3135,2415,2623,1693,2326,32,0.000,1,VALID,456,1,5.711,0.214,2.375,-0.250,-5.188,0.031,-0.027,1.008,0.066,-0.203,0.078,0.040,0.080,0.724,0.691,2,NULL,NULL,,2,0,2,7,255,1052,200,0,0
pre_stim,102,102,0,102,771425.529,-0.885,-0.000,-0.001,0.466,2949,1556,2227,3135,2423,2622,1705,2323,32,0.000,1,VALID,456,1,6.551,0.162,2.750,-0.313,-5.938,0.023,-0.020,1.004,0.027,-0.160,0.051,0.040,0.082,0.724,0.691,2,NULL,NULL,,2,0,2,7,255,1052,200,0,0
pre_stim,107,107,0,107,771430.529,-0.885,0.000,-0.001,0.465,2942,1545,2212,3143,2407,2603,1701,2311,32,0.000,1,VALID,456,1,6.478,0.151,2.563,-0.375,-5.938,0.023,-0.020,1.000,0.027,-0.148,0.027,0.040,0.082,0.724,0.691,2,NULL,NULL,,2,0,2,7,255,1052,200,0,0
pre_stim,112,112,0,112,771435.529,-0.885,0.000,-0.001,0.465,2927,1564,2235,3132,2437,2619,1703,2337,32,0.000,1,VALID,456,1,6.197,0.160,2.563,-0.438,-5.625,0.023,-0.020,1.004,0.008,-0.160,0.027,0.040,0.082,0.724,0.691,2,NULL,NULL,,2,0,2,7,255,1052,200,0,0
pre_stim,117,117,0,117,771440.529,-0.885,0.000,-0.001,0.465,2931,1571,2238,3134,2431,2619,1717,2331,32,0.000,1,VALID,456,1,5.752,0.152,3.000,-0.563,-4.875,0.023,-0.016,1.004,0.000,-0.152,0.012,0.040,0.082,0.724,0.691,2,NULL,NULL,,2,0,2,7,255,1052,200,0,0
