condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,0,0,0,0,1180725.529,-0.465,0.509,-0.046,0.723,0,0,0,0,0,0,0,0,46,0.935,1,VALID,754,0,152.563,6.533,-70.125,130.500,36.438,-0.258,-0.531,0.484,6.309,-1.699,-11.711,2.234,2.242,1.218,1.215,0,NULL,NULL,1052.000,2,0,2,2,255,1052,200,0,0
pre_stim,5,5,0,5,1180730.529,-0.467,0.504,-0.046,0.726,0,0,0,0,0,0,0,0,46,0.935,1,VALID,754,0,153.257,7.135,-71.188,133.375,25.125,-0.289,-0.305,0.609,6.348,-3.258,-11.535,2.252,2.262,1.218,1.215,0,NULL,NULL,,2,0,2,2,255,1052,200,0,0
pre_stim,10,10,0,10,1180735.529,-0.467,0.498,-0.045,0.729,0,0,0,0,0,0,0,0,46,0.935,1,VALID,754,0,150.650,7.022,-56.000,137.125,27.500,-0.258,-0.465,0.508,6.828,-1.637,-11.133,2.276,2.284,1.218,1.215,0,NULL,NULL,,2,0,2,2,255,1052,200,0,0
pre_stim,15,15,0,15,1180740.529,-0.468,0.492,-0.045,0.733,0,0,0,0,0,0,0,0,46,0.935,1,VALID,754,0,153.332,6.965,-55.438,141.188,22.438,-0.238,-0.301,0.594,6.348,-2.867,-10.367,2.300,2.308,1.218,1.215,0,NULL,NULL,,2,0,2,2,255,1052,200,0,0
pre_stim,20,20,0,20,1180745.529,-0.469,0.487,-0.043,0.736,0,0,0,0,0,0,0,0,46,0.935,1,VALID,754,0,153.840,6.568,-40.500,146.875,21.313,-0.191,-0.332,0.547,6.207,-2.148,-9.852,2.324,2.332,1.218,1.215,0,NULL,NULL,,2,0,2,2,255,1052,200,0,0
pre_stim,25,25,0,25,1180750.529,-0.469,0.481,-0.042,0.740,0,0,0,0,0,0,0,0,46,0.935,1,VALID,754,0,158.668,6.568,-39.500,152.563,18.438,-0.188,-0.363,0.535,6.207,-2.148,-9.840,2.352,2.358,1.218,1.215,0,NULL,NULL,,2,0,2,2,255,1052,200,0,0
pre_stim,30,30,0,30,1180755.529,-0.470,0.475,-0.040,0.743,0,0,0,0,0,0,0,0,46,0.935,1,VALID,754,0,163.399,6.465,-28.500,160.188,15.063,-0.199,-0.141,0.547,6.098,-2.148,-9.781,2.378,2.386,1.218,1.215,0,NULL,NULL,,2,0,2,2,255,1052,200,0,0
pre_stim,35,35,0,35,1180760.529,-0.470,0.469,-0.038,0.747,0,0,0,0,0,0,0,0,46,0.935,1,VALID,754,0,173.132,6.428,-27.375,169.500,22.250,-0.145,-0.410,0.469,6.148,-1.875,-9.840,2.406,2.412,1.218,1.215,0,NULL,NULL,,2,0,2,2,255,1052,200,0,0
pre_stim,40,40,0,40,1180765.529,-0.470,0.463,-0.035,0.751,0,0,0,0,0,0,0,0,46,0.935,1,VALID,754,0,180.542,5.528,-23.125,178.750,10.438,-0.191,-0.180,0.516,4.820,-2.707,-9.043,2.434,2.440,1.218,1.215,0,NULL,NULL,,2,0,2,2,255,1052,200,0,0
pre_stim,45,45,0,45,1180770.529,-0.470,0.456,-0.032,0.755,0,0,0,0,0,0,0,0,46,0.935,1,VALID,754,0,193.298,5.461,-20.188,191.125,20.688,-0.219,-0.188,0.473,4.820,-2.566,-9.410,2.460,2.468,1.218,1.215,0,NULL,NULL,,2,0,2,2,255,1052,200,0,0
