condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,13,13,0,13,1590180.529,0.139,-0.005,0.007,-0.990,3029,488,116,3158,1319,2667,794,1843,0,0.000,0,WARMING_UP,1031,1,2.792,0.016,-1.875,0.875,1.875,0.027,-0.047,1.000,-0.004,0.016,-0.035,0.000,0.000,0.000,0.000,2,NULL,NULL,1052.000,2,0,2,4,255,1052,200,0,0
pre_stim,18,18,0,18,1590185.529,0.139,-0.005,0.007,-0.990,3029,492,117,3157,1318,2671,784,1844,0,0.000,0,WARMING_UP,1031,1,2.268,0.031,-1.938,0.625,1.000,0.031,-0.031,1.000,-0.027,0.016,-0.027,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1052,200,0,0
pre_stim,23,23,0,23,1590190.530,0.139,-0.005,0.007,-0.990,3041,492,118,3148,1318,2679,791,1840,0,0.000,0,WARMING_UP,1031,1,2.294,0.106,-2.188,0.688,0.063,0.027,-0.051,0.996,-0.008,0.105,-0.035,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1052,200,0,0
pre_stim,28,28,0,28,1590195.529,0.139,-0.005,0.007,-0.990,3048,501,119,3155,1323,2685,787,1852,0,0.000,0,WARMING_UP,1031,1,2.247,0.089,-2.125,0.688,0.250,0.027,-0.020,0.996,-0.070,-0.055,-0.066,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1052,200,0,0
pre_stim,33,33,0,33,1590200.529,0.139,-0.005,0.007,-0.990,3047,508,117,3151,1323,2699,786,1855,0,0.000,0,WARMING_UP,1031,1,3.128,0.149,-2.938,0.625,-0.875,0.027,-0.059,0.992,-0.008,0.148,-0.074,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1052,200,0,0
pre_stim,38,38,0,38,1590205.529,0.139,-0.005,0.008,-0.990,3051,508,109,3161,1320,2699,789,1869,0,0.000,0,WARMING_UP,1031,1,2.682,0.178,-2.563,0.750,-0.250,0.027,-0.020,1.000,-0.070,-0.164,-0.066,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1052,200,0,0
pre_stim,43,43,0,43,1590210.531,0.139,-0.005,0.008,-0.990,3052,510,109,3161,1321,2711,786,1873,0,0.000,0,WARMING_UP,1031,1,3.659,0.192,-3.125,0.750,-1.750,0.031,-0.059,0.988,-0.016,0.191,-0.105,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1052,200,0,0
pre_stim,48,48,0,48,1590215.529,0.139,-0.005,0.008,-0.990,3077,521,107,3171,1321,2718,783,1875,0,0.000,0,WARMING_UP,1031,1,3.794,0.172,-3.375,0.750,-1.563,0.023,-0.023,1.000,-0.063,-0.160,-0.016,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1052,200,0,0
pre_stim,53,53,0,53,1590220.530,0.139,-0.005,0.008,-0.990,3069,529,111,3167,1327,2731,784,1883,0,0.000,0,WARMING_UP,1031,1,4.051,0.204,-3.500,0.938,-1.813,0.027,-0.059,0.992,-0.016,0.203,-0.074,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1052,200,0,0
pre_stim,58,58,0,58,1590225.529,0.139,-0.005,0.008,-0.990,3091,523,109,3175,1325,2733,783,1883,0,0.000,0,WARMING_UP,1031,1,4.315,0.133,-3.375,0.813,-2.563,0.020,-0.027,1.004,-0.012,-0.133,-0.016,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1052,200,0,0
pre_stim,63,63,0,63,1590230.529,0.139,-0.004,0.008,-0.990,3091,537,111,3183,1327,2737,782,1899,0,0.000,0,WARMING_UP,1031,1,3.763,0.023,-3.375,0.938,-1.375,0.020,-0.043,0.984,0.020,0.012,-0.074,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1052,200,0,0
pre_stim,68,68,0,68,1590235.529,0.139,-0.004,0.009,-0.990,3083,549,105,3161,1320,2729,775,1909,0,0.000,0,WARMING_UP,1031,1,5.302,0.047,-4.625,0.688,-2.500,0.020,-0.039,1.004,0.031,-0.035,0.004,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1052,200,0,0
pre_stim,73,73,0,73,1590240.529,0.139,-0.004,0.009,-0.990,3111,550,108,3190,1333,2769,767,1915,0,0.000,0,WARMING_UP,1031,1,3.479,0.047,-3.313,0.813,-0.688,0.023,-0.016,0.984,0.031,-0.035,-0.164,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1052,200,0,0
pre_stim,78,78,0,78,1590245.529,0.139,-0.004,0.009,-0.990,3125,564,112,3189,1333,2763,775,1927,0,0.000,0,WARMING_UP,1031,1,6.213,0.084,-5.813,0.750,-2.063,0.027,-0.035,0.980,-0.066,-0.051,-0.176,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1052,200,0,0
pre_stim,83,83,0,83,1590250.530,0.139,-0.004,0.009,-0.990,3125,566,117,3209,1338,2775,764,1939,0,0.000,0,WARMING_UP,1031,1,6.398,0.240,-5.875,0.688,-2.438,0.012,-0.004,0.992,-0.066,-0.230,-0.176,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1052,200,0,0
pre_stim,88,88,0,88,1590255.529,0.139,-0.004,0.010,-0.990,3145,579,113,3207,1341,2781,755,1959,0,0.000,0,WARMING_UP,1031,1,6.808,0.193,-6.750,0.688,-0.563,0.023,-0.023,0.977,-0.047,-0.188,-0.230,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1052,200,0,0
pre_stim,93,93,0,93,1590260.529,0.139,-0.004,0.010,-0.990,3145,592,108,3197,1352,2797,752,1962,0,0.000,0,WARMING_UP,1031,1,8.876,0.193,-8.625,0.625,-2.000,0.027,-0.035,0.996,-0.047,-0.188,-0.102,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1052,200,0,0
pre_stim,98,98,0,98,1590265.529,0.140,-0.004,0.010,-0.990,3145,605,107,3207,1353,2808,754,1972,0,0.000,0,WARMING_UP,1031,1,8.236,0.186,-7.938,0.563,-2.125,0.016,-0.027,1.000,-0.047,-0.180,-0.051,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1052,200,0,0
pre_stim,103,103,0,103,1590270.529,0.140,-0.004,0.011,-0.990,3163,616,117,3212,1363,2822,751,1990,0,0.000,0,WARMING_UP,1031,1,8.422,0.075,-8.375,0.625,-0.625,0.020,-0.039,0.992,0.012,-0.074,-0.051,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1052,200,0,0
pre_stim,108,108,0,108,1590275.529,0.140,-0.004,0.011,-0.990,3161,617,110,3215,1369,2827,747,1995,0,0.000,0,WARMING_UP,1031,1,9.171,0.075,-9.063,0.500,-1.313,0.027,-0.047,1.000,0.012,-0.074,-0.043,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1052,200,0,0
