condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,50,50,0,50,241109.492,0.939,0.004,-0.042,-0.341,363,355,2088,145,0,593,379,37,0,0.000,1,VALID,6,1,5.257,0.315,-2.438,-3.563,-3.000,-0.078,0.027,1.051,0.301,0.094,0.078,0.000,0.000,0.391,0.395,3,NULL,NULL,1134.000,0,0,0,7,255,0,250,0,0
baseline,55,55,0,55,241114.492,0.939,0.004,-0.042,-0.341,362,335,2089,141,0,598,389,39,0,0.000,1,VALID,6,1,10.377,0.160,-2.438,-3.875,-9.313,-0.117,0.066,1.008,0.117,-0.109,0.145,0.000,0.000,0.391,0.395,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,60,60,0,60,241119.492,0.939,0.004,-0.042,-0.341,361,345,2087,135,0,592,396,33,0,0.000,1,VALID,6,1,2.991,0.219,1.563,-2.063,1.500,-0.117,0.051,1.043,-0.145,-0.164,0.492,0.000,0.000,0.391,0.395,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,65,65,0,65,241124.492,0.939,0.004,-0.042,-0.341,367,343,2102,111,0,596,411,40,0,0.000,1,VALID,6,1,6.459,0.272,-1.125,-2.438,-5.875,-0.113,0.043,1.008,-0.145,-0.230,0.145,0.000,0.000,0.391,0.395,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,70,70,0,70,241129.492,0.939,0.004,-0.042,-0.341,367,355,2093,103,0,590,425,45,0,0.000,1,VALID,6,1,5.869,0.250,3.563,-1.438,4.438,-0.078,0.078,1.035,-0.098,-0.230,0.395,0.000,0.000,0.391,0.395,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,75,75,0,75,241134.492,0.939,0.004,-0.042,-0.340,366,351,2101,92,0,594,425,43,0,0.000,1,VALID,6,1,7.328,0.266,0.250,-1.938,-7.063,-0.086,-0.012,0.973,-0.020,-0.266,0.141,0.000,0.000,0.391,0.395,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,80,80,0,80,241139.492,0.939,0.004,-0.042,-0.341,358,345,2089,90,0,599,435,43,0,0.000,1,VALID,6,1,4.442,0.208,1.813,-1.688,3.688,-0.078,0.129,1.074,-0.020,0.207,0.395,0.000,0.000,0.391,0.395,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,85,85,0,85,241144.492,0.939,0.004,-0.042,-0.340,357,340,2103,90,0,591,429,43,0,0.000,1,VALID,6,1,4.748,0.651,3.188,-1.188,-3.313,-0.008,-0.074,0.934,0.422,-0.496,-0.273,0.000,0.000,0.391,0.395,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,90,90,0,90,241149.492,0.939,0.004,-0.042,-0.340,352,339,2106,73,0,592,440,40,0,0.000,1,VALID,6,1,5.885,0.371,-0.625,-1.375,-5.688,-0.109,0.102,1.094,-0.305,0.211,0.789,0.000,0.000,0.391,0.395,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,95,95,0,95,241154.492,0.939,0.004,-0.042,-0.340,346,341,2104,75,0,587,442,43,0,0.000,1,VALID,6,1,7.708,0.944,6.750,-0.500,3.688,-0.004,0.000,0.965,0.941,0.074,-0.398,0.000,0.000,0.391,0.395,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
