condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,0,0,0,0,1415399.492,-0.989,0.009,0.149,-0.004,2885,1887,2079,2899,2175,2874,1033,2564,0,0.000,0,INTERVAL_OUT_OF_RANGE,660,1,8.846,0.277,4.563,-6.438,4.000,-0.297,0.055,0.973,0.102,0.258,-0.098,0.000,0.000,0.000,0.000,2,NULL,NULL,1134.000,2,0,2,2,255,1134,200,0,0
pre_stim,5,5,0,5,1415404.492,-0.989,0.009,0.148,-0.004,2863,1899,2120,2905,2215,2901,1052,2584,0,0.000,0,INTERVAL_OUT_OF_RANGE,660,1,9.364,0.224,5.063,-6.188,4.875,-0.277,0.074,0.988,0.102,0.199,0.133,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1134,200,0,0
pre_stim,10,10,0,10,1415409.492,-0.989,0.009,0.148,-0.004,2846,1925,2163,2867,2251,2904,1083,2605,0,0.000,0,INTERVAL_OUT_OF_RANGE,660,1,9.780,0.201,6.875,-6.938,-0.500,-0.250,0.031,0.984,0.199,0.027,0.133,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1134,200,0,0
pre_stim,15,15,0,15,1415414.492,-0.989,0.010,0.148,-0.004,2824,1930,2195,2871,2275,2905,1130,2623,0,0.000,0,INTERVAL_OUT_OF_RANGE,660,1,9.756,0.290,6.250,-7.375,-1.313,-0.293,0.023,0.977,0.199,-0.211,0.168,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1134,200,0,0
pre_stim,20,20,0,20,1415419.492,-0.989,0.010,0.147,-0.004,2799,1949,2213,2857,2311,2887,1181,2647,0,0.000,0,INTERVAL_OUT_OF_RANGE,660,1,9.076,0.213,5.750,-6.563,2.500,-0.309,0.070,0.984,0.027,-0.211,0.168,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1134,200,0,0
pre_stim,25,25,0,25,1415424.492,-0.989,0.010,0.147,-0.004,2774,1971,2263,2842,2343,2909,1228,2663,0,0.000,0,INTERVAL_OUT_OF_RANGE,660,1,10.398,0.306,4.563,-7.813,5.125,-0.281,0.016,0.984,0.027,-0.305,0.191,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1134,200,0,0
pre_stim,30,30,0,30,1415429.492,-0.989,0.010,0.147,-0.004,2747,1983,2297,2825,2365,2908,1273,2678,0,0.000,0,INTERVAL_OUT_OF_RANGE,660,1,10.827,0.338,6.250,-7.375,4.875,-0.262,0.023,0.996,0.129,-0.313,0.262,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1134,200,0,0
pre_stim,35,35,0,35,1415434.492,-0.989,0.011,0.146,-0.004,2725,1999,2313,2797,2405,2910,1290,2699,0,0.000,0,INTERVAL_OUT_OF_RANGE,660,1,10.254,0.417,6.625,-7.438,2.438,-0.277,0.016,0.984,0.145,-0.391,0.191,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1134,200,0,0
pre_stim,40,40,0,40,1415439.492,-0.989,0.011,0.146,-0.004,2694,2021,2374,2777,2443,2909,1334,2715,0,0.000,0,INTERVAL_OUT_OF_RANGE,660,1,11.888,0.344,6.125,-7.688,6.688,-0.313,0.070,0.973,0.145,-0.313,0.188,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1134,200,0,0
pre_stim,45,45,0,45,1415444.492,-0.989,0.011,0.146,-0.003,2637,2035,2392,2747,2475,2910,1353,2731,0,0.000,0,INTERVAL_OUT_OF_RANGE,660,1,14.785,0.147,6.313,-7.125,11.313,-0.266,0.059,0.969,0.145,0.027,0.176,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1134,200,0,0
