condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,36,36,0,36,1845144.492,-0.845,-0.028,0.135,0.517,0,1852,2575,628,2686,1981,2413,2639,0,0.000,1,VALID,902,1,1.036,0.203,0.813,0.313,-0.563,-0.262,0.098,0.973,0.184,-0.086,0.070,0.000,0.000,0.762,0.625,3,NULL,NULL,1134.000,2,0,2,1,255,1134,200,0,0
pre_stim,41,41,0,41,1845149.492,-0.845,-0.028,0.135,0.517,0,1851,2571,637,2685,1982,2411,2643,0,0.000,1,VALID,902,1,1.296,0.104,0.938,0.188,-0.875,-0.273,0.117,0.980,0.023,-0.102,0.082,0.000,0.000,0.762,0.625,3,NULL,NULL,,2,0,2,1,255,1134,200,0,0
pre_stim,46,46,0,46,1845154.492,-0.845,-0.028,0.135,0.517,0,1848,2567,645,2683,1983,2408,2641,0,0.000,1,VALID,902,1,1.821,0.127,1.813,0.125,0.125,-0.270,0.109,0.973,0.070,-0.105,0.094,0.000,0.000,0.762,0.625,3,NULL,NULL,,2,0,2,1,255,1134,200,0,0
pre_stim,51,51,0,51,1845159.492,-0.845,-0.028,0.135,0.517,0,1847,2553,649,2681,1980,2405,2639,0,0.000,1,VALID,902,1,1.516,0.124,1.375,0.125,0.625,-0.254,0.105,0.965,0.070,-0.102,0.094,0.000,0.000,0.762,0.625,3,NULL,NULL,,2,0,2,1,255,1134,200,0,0
pre_stim,56,56,0,56,1845164.492,-0.845,-0.028,0.135,0.517,0,1843,2547,653,2679,1981,2403,2637,0,0.000,1,VALID,902,1,1.575,0.177,1.563,0.188,-0.063,-0.250,0.109,0.973,0.176,-0.020,0.059,0.000,0.000,0.762,0.625,3,NULL,NULL,,2,0,2,1,255,1134,200,0,0
pre_stim,61,61,0,61,1845169.492,-0.845,-0.028,0.135,0.516,0,1839,2539,657,2675,1981,2399,2639,0,0.000,1,VALID,902,1,2.793,0.176,2.625,0.500,-0.813,-0.258,0.117,0.961,0.176,-0.008,-0.012,0.000,0.000,0.762,0.625,3,NULL,NULL,,2,0,2,1,255,1134,200,0,0
pre_stim,66,66,0,66,1845174.492,-0.845,-0.028,0.135,0.516,0,1833,2536,665,2671,1979,2392,2637,0,0.000,1,VALID,902,1,2.272,0.050,2.188,0.563,0.250,-0.258,0.129,0.949,0.031,0.039,-0.020,0.000,0.000,0.762,0.625,3,NULL,NULL,,2,0,2,1,255,1134,200,0,0
pre_stim,71,71,0,71,1845179.492,-0.845,-0.028,0.136,0.517,0,1831,2531,692,2667,1979,2389,2637,0,0.000,1,VALID,902,1,1.716,0.046,1.313,0.750,0.813,-0.250,0.121,0.957,0.023,0.039,-0.086,0.000,0.000,0.762,0.625,3,NULL,NULL,,2,0,2,1,255,1134,200,0,0
pre_stim,76,76,0,76,1845184.492,-0.845,-0.028,0.136,0.516,0,1833,2525,708,2663,1980,2381,2637,0,0.000,1,VALID,902,1,2.833,0.097,2.625,1.063,0.063,-0.254,0.156,0.945,-0.074,0.063,-0.133,0.000,0.000,0.762,0.625,3,NULL,NULL,,2,0,2,1,255,1134,200,0,0
pre_stim,81,81,0,81,1845189.492,-0.845,-0.027,0.136,0.517,0,1833,2519,727,2660,1981,2375,2635,0,0.000,1,VALID,902,1,2.712,0.344,1.688,1.438,1.563,-0.250,0.152,0.918,-0.313,0.145,-0.145,0.000,0.000,0.762,0.625,3,NULL,NULL,,2,0,2,1,255,1134,200,0,0
