condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,50,50,0,50,124439.877,0.987,-0.025,-0.022,0.155,519,311,1425,882,624,879,307,1597,0,0.000,0,WARMING_UP,9,1,1.205,0.021,-0.250,-0.625,1.000,-0.059,0.074,0.984,-0.008,0.020,-0.016,0.000,0.000,0.000,0.000,3,NULL,NULL,1241.000,0,0,0,7,255,0,250,0,0
baseline,54,54,0,54,124444.876,0.987,-0.025,-0.022,0.155,517,305,1407,869,623,875,301,1581,0,0.000,0,WARMING_UP,9,1,2.273,0.021,-1.188,0.063,1.938,-0.043,0.086,1.000,-0.008,0.020,-0.016,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,60,60,0,60,124449.882,0.987,-0.025,-0.022,0.155,493,300,1397,859,605,873,283,1577,0,0.000,0,WARMING_UP,9,1,1.081,0.054,0.813,0.438,-0.563,-0.047,0.070,0.988,0.051,0.020,-0.039,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,65,65,0,65,124454.878,0.987,-0.025,-0.022,0.155,493,293,1391,840,601,861,277,1575,0,0.000,0,WARMING_UP,9,1,1.482,0.100,-0.563,0.563,1.250,-0.063,0.094,0.980,0.051,0.086,-0.039,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,70,70,0,70,124459.881,0.987,-0.025,-0.022,0.155,494,291,1381,823,595,841,268,1546,0,0.000,0,WARMING_UP,9,1,2.638,0.064,-1.938,-0.750,1.625,-0.055,0.027,0.992,-0.039,-0.051,-0.039,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,75,75,0,75,124464.881,0.987,-0.025,-0.022,0.155,485,287,1381,818,582,830,253,1545,0,0.000,0,WARMING_UP,9,1,1.875,0.211,0.000,1.500,1.125,-0.043,0.156,1.000,-0.039,0.207,-0.035,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,80,80,0,80,124469.879,0.987,-0.025,-0.022,0.155,482,283,1363,817,573,826,247,1541,0,0.000,0,WARMING_UP,9,1,0.472,0.469,-0.125,0.125,0.438,-0.051,0.008,0.977,-0.168,-0.438,-0.035,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,84,84,0,84,124474.876,0.987,-0.025,-0.022,0.155,475,275,1351,806,557,826,241,1519,0,0.000,0,WARMING_UP,9,1,2.173,0.305,-1.750,0.313,1.250,-0.055,0.105,0.992,0.051,0.301,0.000,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,90,90,0,90,124479.884,0.987,-0.025,-0.022,0.155,485,276,1343,791,557,813,243,1509,0,0.000,0,WARMING_UP,9,1,1.661,0.067,0.000,0.563,1.563,-0.047,0.070,0.992,0.043,-0.051,-0.027,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,95,95,0,95,124484.877,0.987,-0.025,-0.022,0.155,482,275,1332,793,544,813,235,1501,0,0.000,0,WARMING_UP,9,1,2.131,0.069,-1.313,1.188,1.188,-0.039,0.070,0.980,0.051,-0.047,-0.027,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
