condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,0,0,0,0,380654.875,-0.064,0.093,0.003,-0.994,1191,1269,1720,1511,1371,859,0,1307,0,0.000,0,WARMING_UP,117,1,5.535,0.220,-3.938,2.813,-2.688,-0.176,0.023,1.023,-0.195,0.102,0.184,0.000,0.000,0.000,0.000,2,NULL,NULL,1241.000,2,0,2,2,255,,200,0,0
pre_stim,5,5,0,5,380659.903,-0.064,0.094,0.003,-0.994,1209,1273,1733,1541,1369,871,0,1315,0,0.000,0,WARMING_UP,117,1,4.208,0.152,-1.250,4.000,0.375,-0.199,0.051,0.977,-0.141,-0.059,-0.012,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1241,200,0,0
pre_stim,10,10,0,10,380664.875,-0.064,0.094,0.003,-0.994,1224,1272,1720,1561,1371,875,0,1311,0,0.000,0,WARMING_UP,117,1,4.424,0.119,-4.313,0.938,-0.313,-0.188,0.000,0.992,-0.063,0.102,0.094,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1241,200,0,0
pre_stim,15,15,0,15,380669.875,-0.064,0.094,0.003,-0.994,1235,1275,1724,1585,1363,874,0,1323,0,0.000,0,WARMING_UP,117,1,5.588,0.164,-4.000,3.188,2.250,-0.195,0.016,1.012,-0.008,0.164,0.094,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1241,200,0,0
pre_stim,20,20,0,20,380674.875,-0.064,0.094,0.003,-0.994,1236,1287,1722,1604,1361,879,0,1320,0,0.000,0,WARMING_UP,117,1,3.991,0.167,-2.875,1.313,-2.438,-0.188,0.020,0.988,-0.031,0.164,0.094,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1241,200,0,0
pre_stim,25,25,0,25,380679.891,-0.064,0.094,0.004,-0.994,1268,1302,1719,1609,1336,883,0,1318,0,0.000,0,WARMING_UP,117,1,4.777,0.164,-4.625,0.875,-0.813,-0.199,0.016,1.004,-0.008,0.164,0.254,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1241,200,0,0
pre_stim,30,30,0,30,380684.876,-0.064,0.094,0.004,-0.994,1251,1297,1720,1623,1353,887,0,1323,0,0.000,0,WARMING_UP,117,1,4.264,0.175,-3.875,1.688,0.563,-0.188,-0.004,1.000,-0.031,0.172,0.195,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1241,200,0,0
pre_stim,35,35,0,35,380689.876,-0.064,0.094,0.004,-0.994,1255,1294,1720,1629,1343,889,0,1327,0,0.000,0,WARMING_UP,117,1,3.934,0.173,-2.250,0.500,-3.188,-0.176,0.105,0.973,-0.016,0.172,0.195,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1241,200,0,0
pre_stim,40,40,0,40,380694.875,-0.064,0.094,0.004,-0.994,1257,1295,1709,1629,1333,889,0,1325,0,0.000,0,WARMING_UP,117,1,5.626,0.334,-5.500,1.125,0.375,-0.195,-0.098,1.000,-0.063,0.328,0.164,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1241,200,0,0
pre_stim,45,45,0,45,380699.875,-0.064,0.094,0.004,-0.994,1256,1299,1707,1631,1331,891,0,1335,0,0.000,0,WARMING_UP,117,1,5.354,0.723,-3.938,-0.688,-3.563,-0.188,0.141,0.973,-0.016,-0.723,-0.035,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1241,200,0,0
pre_stim,50,50,0,50,380704.878,-0.064,0.094,0.005,-0.994,1263,1289,1695,1628,1331,887,0,1325,0,0.000,0,WARMING_UP,117,1,4.702,0.663,-4.313,1.875,0.000,-0.195,-0.039,1.008,-0.059,0.660,0.164,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1241,200,0,0
pre_stim,55,55,0,55,380709.878,-0.064,0.094,0.005,-0.994,1261,1299,1691,1639,1324,895,0,1310,0,0.000,0,WARMING_UP,117,1,4.624,0.371,-3.750,-0.313,-2.688,-0.184,0.066,0.973,0.012,-0.371,-0.035,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1241,200,0,0
