condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,5,5,0,5,836379.878,0.977,-0.006,-0.123,0.174,3066,2194,1725,3220,1436,2201,1304,1763,0,0.000,0,WARMING_UP,391,0,11.564,2.627,-10.813,0.563,4.063,-0.324,-0.227,1.258,-1.375,-2.238,2.965,0.000,0.000,0.000,0.000,2,NULL,NULL,1241.000,2,0,2,4,255,,200,0,0
pre_stim,10,10,0,10,836384.884,0.977,-0.005,-0.124,0.173,3095,2237,1763,3241,1481,2228,1338,1813,0,0.000,0,WARMING_UP,391,0,12.882,2.208,-6.750,-0.875,10.938,-0.336,-0.188,1.238,-0.910,-2.012,2.797,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1241,200,0,0
pre_stim,14,14,0,14,836389.875,0.977,-0.005,-0.124,0.172,3111,2268,1786,3247,1504,2265,1372,1839,0,0.000,0,WARMING_UP,391,0,16.504,2.122,1.188,1.688,16.375,-0.293,-0.207,1.254,-0.898,-1.922,2.859,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1241,200,0,0
pre_stim,19,19,0,19,836394.876,0.977,-0.006,-0.124,0.172,3112,2295,1826,3263,1528,2284,1401,1865,0,0.000,0,WARMING_UP,391,0,19.630,2.000,8.938,2.813,17.250,-0.254,-0.219,1.223,-0.555,-1.922,2.797,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1241,200,0,0
pre_stim,24,24,0,24,836399.876,0.977,-0.006,-0.124,0.171,3118,2312,1837,3261,1559,2291,1415,1881,0,0.000,0,WARMING_UP,391,0,18.815,1.946,9.625,2.313,16.000,-0.227,-0.145,1.176,-0.309,-1.922,2.430,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1241,200,0,0
pre_stim,29,29,0,29,836404.877,0.977,-0.006,-0.124,0.171,3123,2313,1853,3273,1556,2295,1416,1880,0,0.000,0,WARMING_UP,391,0,13.494,1.525,9.125,3.125,9.438,-0.234,-0.086,1.184,0.059,-1.523,2.023,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1241,200,0,0
pre_stim,35,35,0,35,836409.880,0.978,-0.007,-0.124,0.171,3111,2314,1853,3257,1553,2287,1421,1878,0,0.000,0,WARMING_UP,391,0,13.757,1.345,12.188,1.563,6.188,-0.285,-0.141,1.215,0.059,-1.344,2.023,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1241,200,0,0
pre_stim,40,40,0,40,836414.906,0.978,-0.008,-0.124,0.170,3097,2287,1861,3261,1547,2264,1408,1865,0,0.000,0,WARMING_UP,391,0,19.594,1.026,18.188,0.750,7.250,-0.332,-0.051,1.145,-0.359,-0.961,2.023,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1241,200,0,0
pre_stim,44,44,0,44,836419.875,0.978,-0.009,-0.123,0.170,3087,2275,1838,3243,1528,2249,1403,1848,0,0.000,0,WARMING_UP,391,0,23.183,0.695,19.938,0.625,11.813,-0.336,-0.023,1.074,-0.617,-0.320,1.863,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1241,200,0,0
pre_stim,50,50,0,50,836424.894,0.978,-0.009,-0.123,0.169,3081,2234,1811,3230,1507,2211,1399,1829,0,0.000,0,WARMING_UP,391,0,23.526,0.631,16.875,-0.750,16.375,-0.277,-0.020,1.004,-0.617,-0.133,1.230,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1241,200,0,0
