condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,2,2,0,2,1292169.879,-0.931,-0.071,0.085,0.347,3212,2578,2457,3277,2741,2939,203,2875,0,0.000,0,WARMING_UP,671,1,3.158,0.170,2.563,0.875,1.625,-0.211,-0.027,0.961,-0.148,0.082,-0.043,0.000,0.000,0.000,0.000,2,NULL,NULL,1241.000,2,0,2,1,255,1241,200,0,0
pre_stim,6,6,0,6,1292174.878,-0.931,-0.071,0.085,0.347,3213,2573,2453,3277,2741,2933,199,2889,0,0.000,0,WARMING_UP,671,1,1.382,0.170,1.250,0.313,-0.500,-0.207,-0.027,0.961,-0.148,0.082,-0.152,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,1,255,1241,200,0,0
pre_stim,12,12,0,12,1292179.881,-0.931,-0.071,0.085,0.347,3196,2551,2453,3275,2743,2932,213,2889,0,0.000,0,WARMING_UP,671,1,0.606,0.232,0.563,-0.188,0.125,-0.223,0.004,0.953,-0.207,0.105,-0.156,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,1,255,1241,200,0,0
pre_stim,16,16,0,16,1292184.876,-0.931,-0.071,0.085,0.347,3199,2563,2444,3281,2763,2926,215,2871,0,0.000,0,WARMING_UP,671,1,2.063,0.173,-1.750,-0.563,-0.938,-0.215,-0.047,0.980,-0.137,0.105,-0.156,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,1,255,1241,200,0,0
pre_stim,22,22,0,22,1292189.879,-0.931,-0.071,0.085,0.347,3199,2551,2451,3270,2769,2924,219,2873,0,0.000,0,WARMING_UP,671,1,1.416,0.405,-0.500,-0.438,1.250,-0.219,-0.008,0.973,-0.348,0.207,-0.008,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,1,255,1241,200,0,0
pre_stim,26,26,0,26,1292194.878,-0.931,-0.071,0.085,0.348,3220,2579,2455,3261,2739,2943,227,2889,0,0.000,0,WARMING_UP,671,1,2.032,0.063,-1.875,-0.375,0.688,-0.199,-0.055,0.988,-0.055,-0.031,0.051,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,1,255,1241,200,0,0
pre_stim,32,32,0,32,1292199.879,-0.931,-0.071,0.085,0.348,3198,2554,2453,3263,2751,2937,227,2885,0,0.000,0,WARMING_UP,671,1,1.104,0.077,-0.875,-0.625,-0.250,-0.207,-0.059,0.988,0.070,-0.031,0.113,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,1,255,1241,200,0,0
pre_stim,36,36,0,36,1292204.876,-0.931,-0.071,0.085,0.348,3206,2569,2457,3274,2742,2933,234,2886,0,0.000,0,WARMING_UP,671,1,1.120,0.114,-1.000,-0.500,0.063,-0.211,-0.063,0.996,0.090,-0.070,0.145,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,1,255,1241,200,0,0
pre_stim,41,41,0,41,1292209.877,-0.931,-0.071,0.085,0.348,3193,2572,2459,3271,2759,2932,237,2891,0,0.000,0,WARMING_UP,671,1,1.926,0.099,0.438,-0.063,1.875,-0.211,-0.047,0.988,0.070,-0.070,0.145,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,1,255,1241,200,0,0
pre_stim,46,46,0,46,1292214.878,-0.931,-0.071,0.085,0.348,3191,2577,2452,3259,2748,2920,247,2887,0,0.000,0,WARMING_UP,671,1,3.044,0.042,0.500,0.125,3.000,-0.203,-0.039,0.973,-0.023,-0.035,0.137,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,1,255,1241,200,0,0
