condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,13,13,0,13,1747974.881,0.991,0.065,-0.105,-0.053,2,33,441,0,0,0,122,351,0,0.000,0,RECOVERING,949,0,94.491,4.774,-12.875,-18.875,91.688,0.195,0.230,1.109,3.125,3.609,0.594,0.000,0.000,0.000,0.000,0,NULL,NULL,1241.000,2,0,2,7,255,1241,200,0,0
pre_stim,17,17,0,17,1747979.875,0.991,0.065,-0.104,-0.057,3,35,431,0,0,0,119,351,0,0.000,0,RECOVERING,949,0,95.861,5.191,-16.875,-23.563,91.375,0.219,0.215,1.125,3.801,3.535,0.332,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,7,255,1241,200,0,0
pre_stim,22,22,0,22,1747984.877,0.991,0.065,-0.103,-0.061,5,28,428,0,0,0,119,352,0,0.000,0,RECOVERING,949,0,94.057,5.396,-13.813,-28.313,88.625,0.266,0.227,1.105,4.004,3.617,0.195,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,7,255,1241,200,0,0
pre_stim,27,27,0,27,1747989.877,0.991,0.066,-0.102,-0.065,6,35,427,0,0,0,117,357,0,0.000,0,RECOVERING,949,0,97.741,5.700,-17.375,-32.750,90.438,0.309,0.211,1.129,4.379,3.648,0.180,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,7,255,1241,200,0,0
pre_stim,32,32,0,32,1747994.879,0.990,0.066,-0.100,-0.069,0,28,416,0,0,0,105,357,0,0.000,0,RECOVERING,949,0,92.468,6.011,-13.188,-36.625,83.875,0.344,0.176,1.156,4.777,3.648,0.180,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,7,255,1241,200,0,0
pre_stim,37,37,0,37,1747999.878,0.990,0.066,-0.098,-0.072,4,29,425,0,0,0,105,362,0,0.000,0,RECOVERING,949,0,92.292,6.314,-10.375,-40.688,82.188,0.383,0.191,1.113,5.184,3.605,0.180,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,7,255,1241,200,0,0
pre_stim,43,43,0,43,1748004.881,0.990,0.066,-0.097,-0.076,8,27,424,0,0,0,109,360,0,0.000,0,RECOVERING,949,0,86.894,6.387,-9.125,-44.313,74.188,0.395,0.160,1.141,5.383,3.438,0.219,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,7,255,1241,200,0,0
pre_stim,47,47,0,47,1748009.879,0.990,0.065,-0.095,-0.079,1,28,420,0,0,0,105,357,0,0.000,0,RECOVERING,949,0,82.514,6.545,-2.438,-47.750,67.250,0.418,0.172,1.074,5.551,3.469,-0.051,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,7,255,1241,200,0,0
pre_stim,52,52,0,52,1748014.877,0.990,0.065,-0.093,-0.081,7,29,427,0,0,0,101,357,0,0.000,0,RECOVERING,949,0,79.923,6.545,-3.625,-50.688,61.688,0.418,0.176,1.051,5.551,3.469,-0.445,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,7,255,1241,200,0,0
pre_stim,57,57,0,57,1748019.876,0.990,0.065,-0.090,-0.084,5,29,423,0,0,0,97,364,0,0.000,0,RECOVERING,949,0,73.921,6.479,0.625,-53.625,50.875,0.406,0.148,1.051,5.473,3.469,-0.570,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,7,255,1241,200,0,0
pre_stim,62,62,0,62,1748024.879,0.990,0.064,-0.088,-0.086,5,26,429,0,0,0,94,358,0,0.000,0,RECOVERING,949,0,70.864,6.334,4.938,-55.625,43.625,0.383,0.180,0.965,5.348,3.395,-0.633,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,7,255,1241,200,0,0
pre_stim,67,67,0,67,1748029.877,0.990,0.064,-0.086,-0.087,9,28,427,0,0,0,91,357,0,0.000,0,RECOVERING,949,0,68.282,5.848,3.438,-57.000,37.438,0.355,0.160,0.961,4.891,3.207,-1.281,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,7,255,1241,200,0,0
pre_stim,72,72,0,72,1748034.877,0.991,0.063,-0.083,-0.089,7,24,429,0,0,0,84,352,0,0.000,0,RECOVERING,949,0,65.139,5.602,8.188,-57.875,28.750,0.332,0.160,0.938,4.617,3.172,-1.332,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,7,255,1241,200,0,0
pre_stim,77,77,0,77,1748039.877,0.991,0.062,-0.081,-0.090,2,28,432,0,0,0,87,359,0,0.000,0,RECOVERING,949,0,62.901,5.331,10.063,-58.063,22.000,0.297,0.188,0.863,4.285,3.172,-1.469,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,7,255,1241,200,0,0
pre_stim,82,82,0,82,1748044.877,0.991,0.062,-0.078,-0.090,6,29,415,0,0,0,81,364,0,0.000,0,RECOVERING,949,0,60.668,4.864,8.375,-57.813,16.375,0.262,0.164,0.879,3.770,3.074,-1.844,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,7,255,1241,200,0,0
pre_stim,87,87,0,87,1748049.880,0.991,0.061,-0.076,-0.091,1,33,425,0,0,0,155,442,0,0.000,0,RECOVERING,949,0,59.300,4.537,12.813,-57.125,9.438,0.227,0.164,0.879,3.457,2.938,-1.844,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,7,255,1241,200,0,0
pre_stim,92,92,0,92,1748054.879,0.991,0.061,-0.074,-0.091,0,29,453,0,0,0,203,532,0,0.000,0,RECOVERING,949,0,44.701,4.185,-7.875,-43.500,6.625,0.137,0.070,1.219,3.070,2.844,-1.773,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,7,255,1241,200,0,0
