condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,36,36,0,36,65499.496,0.270,0.126,-0.220,-0.929,357,2503,416,2459,2085,2555,1127,2103,50,1.135,1,VALID,15,1,21.650,0.485,6.563,-8.875,-18.625,-0.332,0.270,0.926,-0.027,0.484,0.066,0.162,0.068,1.076,1.345,2,NULL,NULL,1151.000,0,0,0,7,255,0,250,0,0
baseline,41,41,0,41,65504.497,0.271,0.126,-0.221,-0.929,304,2511,443,2413,2123,2571,1199,2147,50,1.135,1,VALID,15,1,22.459,0.485,9.375,-10.500,-17.500,-0.410,0.355,0.875,0.016,0.484,0.070,0.162,0.068,1.076,1.345,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,45,45,0,45,65509.494,0.271,0.125,-0.221,-0.928,268,2519,477,2363,2159,2583,1259,2198,50,1.135,1,VALID,15,1,14.957,0.303,6.750,-12.375,-5.000,-0.422,0.379,0.875,0.152,-0.262,0.207,0.164,0.066,1.076,1.345,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,50,50,0,50,65514.495,0.271,0.125,-0.220,-0.929,175,2531,524,2312,2204,2599,1326,2247,50,1.135,1,VALID,15,1,18.139,0.489,-3.000,-17.063,-5.375,-0.152,0.375,0.590,0.152,-0.465,0.207,0.166,0.066,1.076,1.345,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,55,55,0,55,65519.493,0.273,0.125,-0.219,-0.928,141,2539,563,2261,2236,2612,1384,2292,50,1.135,1,VALID,15,1,46.629,1.224,-29.000,-9.750,-35.188,-0.379,0.500,1.164,-1.133,-0.465,0.328,0.166,0.064,1.076,1.345,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,60,60,0,60,65524.494,0.273,0.124,-0.220,-0.928,98,2541,601,2195,2271,2627,1444,2331,50,1.135,1,VALID,15,1,36.043,1.150,32.750,-14.438,-4.250,-0.477,0.277,1.059,-1.133,0.195,1.715,0.168,0.062,1.076,1.345,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,66,66,0,66,65529.496,0.274,0.123,-0.221,-0.928,57,2543,650,2121,2323,2641,1489,2375,50,1.135,1,VALID,15,1,34.495,0.490,30.500,-15.625,3.938,-0.309,0.203,0.648,0.449,0.195,1.715,0.168,0.062,1.076,1.345,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,71,71,0,71,65534.496,0.274,0.123,-0.221,-0.928,0,2552,669,2031,2375,2653,1530,2419,50,1.135,1,VALID,15,1,18.453,0.481,-2.688,-16.938,-6.813,-0.320,0.523,0.797,0.449,0.172,-0.180,0.170,0.062,1.076,1.345,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,76,76,0,76,65539.496,0.274,0.122,-0.221,-0.928,0,2551,693,1943,2404,2667,1587,2464,50,1.135,1,VALID,15,1,20.123,1.534,2.250,-18.563,-7.438,-0.320,0.531,0.961,-1.355,-0.719,-0.180,0.174,0.062,1.076,1.345,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,81,81,0,81,65544.496,0.275,0.121,-0.221,-0.928,0,2551,727,1831,2444,2679,1634,2511,50,1.135,1,VALID,15,1,25.902,1.534,9.188,-19.063,-14.938,-0.285,0.344,0.824,-1.355,-0.719,-0.180,0.176,0.062,1.076,1.345,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
