condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,3,3,0,3,302379.495,0.887,-0.190,-0.265,0.326,1183,1471,41,2671,1133,1603,791,951,0,0.000,1,VALID,157,1,0.656,0.011,-0.625,0.188,-0.063,-0.598,0.191,0.781,-0.008,0.008,-0.020,0.000,0.000,0.376,0.566,2,NULL,NULL,1151.000,2,0,2,1,255,1151,200,0,0
pre_stim,8,8,0,8,302384.495,0.887,-0.190,-0.265,0.326,1173,1472,41,2668,1132,1597,789,951,0,0.000,1,VALID,157,1,1.959,0.063,-1.625,-0.563,0.938,-0.605,0.203,0.793,0.063,0.008,-0.020,0.000,0.000,0.376,0.566,2,NULL,NULL,,2,0,2,1,255,1151,200,0,0
pre_stim,12,12,0,12,302389.494,0.887,-0.190,-0.265,0.326,1167,1470,43,2666,1133,1595,793,951,0,0.000,1,VALID,157,1,1.036,0.032,-0.938,0.063,-0.438,-0.586,0.188,0.773,0.031,0.008,-0.059,0.000,0.000,0.376,0.566,2,NULL,NULL,,2,0,2,1,255,1151,200,0,0
pre_stim,17,17,0,17,302394.493,0.887,-0.190,-0.265,0.326,1165,1467,45,2664,1133,1595,793,948,0,0.000,1,VALID,157,1,1.471,0.066,-1.438,-0.188,0.250,-0.609,0.199,0.793,0.031,0.059,0.109,0.000,0.000,0.376,0.566,2,NULL,NULL,,2,0,2,1,255,1151,200,0,0
pre_stim,22,22,0,22,302399.494,0.887,-0.190,-0.265,0.326,1163,1469,41,2664,1134,1597,789,948,0,0.000,1,VALID,157,1,1.416,0.053,-1.375,-0.313,-0.125,-0.586,0.188,0.785,0.031,-0.043,-0.070,0.000,0.000,0.376,0.566,2,NULL,NULL,,2,0,2,1,255,1151,200,0,0
pre_stim,27,27,0,27,302404.494,0.887,-0.190,-0.265,0.326,1160,1479,45,2662,1135,1568,787,948,0,0.000,1,VALID,157,1,1.410,0.031,0.000,0.313,-1.375,-0.598,0.188,0.785,0.023,-0.020,-0.020,0.000,0.000,0.376,0.566,2,NULL,NULL,,2,0,2,1,255,1151,200,0,0
pre_stim,32,32,0,32,302409.494,0.887,-0.190,-0.265,0.326,1161,1471,44,2662,1138,1603,789,950,0,0.000,1,VALID,157,1,0.970,0.020,-0.875,-0.188,-0.375,-0.609,0.188,0.785,0.004,-0.020,-0.020,0.000,0.000,0.376,0.566,2,NULL,NULL,,2,0,2,1,255,1151,200,0,0
pre_stim,37,37,0,37,302414.494,0.887,-0.190,-0.265,0.326,1161,1471,42,2660,1139,1603,792,949,0,0.000,1,VALID,157,1,0.938,0.040,-0.875,-0.313,0.125,-0.598,0.184,0.789,-0.035,-0.020,0.000,0.000,0.000,0.376,0.566,2,NULL,NULL,,2,0,2,1,255,1151,200,0,0
pre_stim,42,42,0,42,302419.494,0.887,-0.190,-0.265,0.326,1161,1479,47,2659,1139,1600,795,949,0,0.000,1,VALID,157,1,0.319,0.072,-0.250,0.063,-0.188,-0.594,0.184,0.785,-0.035,-0.063,0.000,0.000,0.000,0.376,0.566,2,NULL,NULL,,2,0,2,1,255,1151,200,0,0
pre_stim,48,48,0,48,302424.495,0.887,-0.190,-0.265,0.326,1161,1479,42,2661,1140,1607,795,951,0,0.000,1,VALID,157,1,0.492,0.065,-0.125,-0.188,0.438,-0.602,0.195,0.785,-0.020,-0.063,0.000,0.000,0.000,0.376,0.566,2,NULL,NULL,,2,0,2,1,255,1151,200,0,0
pre_stim,53,53,0,53,302429.497,0.887,-0.190,-0.265,0.326,1160,1483,42,2661,1142,1609,798,951,0,0.000,1,VALID,157,1,0.400,0.048,-0.250,-0.250,0.188,-0.594,0.199,0.781,0.008,0.047,-0.035,0.000,0.000,0.376,0.566,2,NULL,NULL,,2,0,2,1,255,1151,200,0,0
pre_stim,57,57,0,57,302434.494,0.887,-0.190,-0.265,0.326,1169,1486,47,2662,1144,1612,803,953,0,0.000,1,VALID,157,1,1.070,0.064,-0.375,-0.063,-1.000,-0.598,0.195,0.781,0.043,0.047,-0.039,0.000,0.000,0.376,0.566,2,NULL,NULL,,2,0,2,1,255,1151,200,0,0
