condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,4,4,0,4,736079.495,0.178,-0.009,-0.160,-0.971,831,1663,39,2589,893,1083,1053,713,0,0.000,0,WARMING_UP,447,1,2.350,0.117,1.688,-0.188,1.625,-0.039,0.355,0.938,-0.051,-0.105,-0.035,0.000,0.000,0.000,0.000,2,NULL,NULL,1151.000,2,0,2,4,255,1151,200,0,0
pre_stim,9,9,0,9,736084.500,0.178,-0.009,-0.160,-0.971,830,1662,39,2587,903,1081,1063,713,0,0.000,0,WARMING_UP,447,1,1.838,0.115,0.563,0.000,1.750,-0.039,0.355,0.941,-0.047,-0.105,0.004,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1151,200,0,0
pre_stim,14,14,0,14,736089.495,0.178,-0.009,-0.160,-0.971,827,1669,41,2587,905,1079,1069,715,0,0.000,0,WARMING_UP,447,1,1.817,0.117,0.813,0.000,1.625,-0.035,0.352,0.938,-0.051,-0.105,-0.035,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1151,200,0,0
pre_stim,19,19,0,19,736094.495,0.178,-0.009,-0.160,-0.971,822,1663,43,2584,895,1069,1064,703,0,0.000,0,WARMING_UP,447,1,1.759,0.094,-0.125,0.125,1.750,-0.039,0.348,0.945,-0.047,-0.082,0.004,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1151,200,0,0
pre_stim,24,24,0,24,736099.496,0.178,-0.009,-0.160,-0.971,823,1667,45,2587,895,1076,1081,702,0,0.000,0,WARMING_UP,447,1,1.549,0.050,0.563,0.125,1.438,-0.039,0.352,0.945,-0.035,-0.035,0.012,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1151,200,0,0
pre_stim,29,29,0,29,736104.495,0.178,-0.009,-0.160,-0.971,827,1669,43,2587,895,1077,1080,713,0,0.000,0,WARMING_UP,447,1,1.888,0.008,-0.125,0.188,1.875,-0.043,0.340,0.941,-0.008,0.000,0.012,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1151,200,0,0
pre_stim,34,34,0,34,736109.504,0.178,-0.009,-0.160,-0.971,817,1663,43,2587,895,1071,1085,710,0,0.000,0,WARMING_UP,447,1,1.724,0.040,0.250,0.250,1.688,-0.039,0.352,0.949,-0.020,-0.035,0.023,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1151,200,0,0
pre_stim,39,39,0,39,736114.495,0.178,-0.010,-0.160,-0.971,823,1671,43,2587,894,1066,1085,703,0,0.000,0,WARMING_UP,447,1,1.847,0.008,0.250,0.250,1.813,-0.039,0.344,0.938,-0.008,0.000,-0.035,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1151,200,0,0
pre_stim,44,44,0,44,736119.495,0.177,-0.010,-0.160,-0.971,823,1671,45,2587,891,1063,1091,701,0,0.000,0,WARMING_UP,447,1,1.849,0.040,-0.188,0.313,1.813,-0.039,0.352,0.949,-0.020,-0.035,0.063,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1151,200,0,0
pre_stim,48,48,0,48,736124.494,0.177,-0.010,-0.160,-0.971,808,1669,46,2587,891,1059,1083,699,0,0.000,0,WARMING_UP,447,1,1.371,0.025,0.125,0.375,1.313,-0.039,0.344,0.938,-0.023,-0.008,-0.055,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1151,200,0,0
pre_stim,54,54,0,54,736129.496,0.177,-0.009,-0.160,-0.971,810,1663,47,2587,891,1059,1092,697,0,0.000,0,WARMING_UP,447,1,1.313,0.025,-0.563,0.375,1.125,-0.039,0.344,0.945,-0.023,-0.008,0.000,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1151,200,0,0
pre_stim,59,59,0,59,736134.495,0.177,-0.009,-0.160,-0.971,798,1663,46,2585,891,1053,1095,696,0,0.000,0,WARMING_UP,447,1,1.281,0.011,0.125,0.250,1.250,-0.043,0.348,0.949,0.008,-0.008,0.000,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1151,200,0,0
pre_stim,64,64,0,64,736139.496,0.177,-0.009,-0.160,-0.971,789,1655,45,2582,886,1047,1087,686,0,0.000,0,WARMING_UP,447,1,1.472,0.027,0.063,0.313,1.438,-0.043,0.344,0.941,0.027,0.000,0.000,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1151,200,0,0
pre_stim,69,69,0,69,736144.495,0.177,-0.009,-0.160,-0.971,799,1661,47,2585,891,1048,1100,691,0,0.000,0,WARMING_UP,447,1,1.998,0.028,-0.375,0.313,1.938,-0.043,0.348,0.949,0.027,-0.008,0.043,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1151,200,0,0
pre_stim,73,73,0,73,736149.494,0.177,-0.009,-0.160,-0.971,797,1663,47,2584,890,1047,1099,685,0,0.000,0,WARMING_UP,447,1,2.028,0.012,0.125,0.313,2.000,-0.035,0.344,0.945,0.012,0.000,0.004,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1151,200,0,0
pre_stim,79,79,0,79,736154.495,0.177,-0.009,-0.160,-0.971,798,1662,46,2584,889,1045,1101,684,0,0.000,0,WARMING_UP,447,1,1.247,0.031,0.063,0.375,1.188,-0.039,0.344,0.941,-0.023,0.020,0.004,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1151,200,0,0
pre_stim,84,84,0,84,736159.495,0.177,-0.009,-0.160,-0.971,787,1653,47,2567,883,1043,1095,679,0,0.000,0,WARMING_UP,447,1,1.092,0.031,0.000,0.438,1.000,-0.043,0.348,0.945,-0.023,0.020,0.004,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,4,255,1151,200,0,0
