condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,3,3,0,3,1307669.494,0.485,-0.052,0.147,0.860,1398,2765,1315,2685,2479,2403,2614,1868,0,0.000,1,VALID,785,1,9.111,0.316,-4.438,-4.500,-6.563,0.027,0.375,0.969,0.309,0.066,0.047,0.000,0.000,0.413,0.393,2,NULL,NULL,1151.000,2,0,2,7,255,1151,200,0,0
pre_stim,7,7,0,7,1307674.493,0.485,-0.052,0.147,0.860,1341,2759,1321,2659,2489,2405,2617,1893,0,0.000,1,VALID,785,1,7.087,0.109,-3.688,-4.750,-3.750,0.047,0.305,0.930,0.055,0.094,-0.133,0.000,0.000,0.413,0.393,2,NULL,NULL,,2,0,2,7,255,1151,200,0,0
pre_stim,13,13,0,13,1307679.500,0.485,-0.052,0.147,0.861,1291,2746,1319,2623,2494,2407,2617,1909,0,0.000,1,VALID,785,1,8.347,0.075,-4.500,-5.125,-4.813,0.047,0.352,0.980,0.035,0.066,0.309,0.000,0.000,0.413,0.393,2,NULL,NULL,,2,0,2,7,255,1151,200,0,0
pre_stim,18,18,0,18,1307684.496,0.485,-0.051,0.147,0.861,1224,2734,1311,2591,2505,2407,2621,1919,0,0.000,1,VALID,785,1,7.146,0.251,-2.938,-4.938,-4.250,0.047,0.293,0.938,-0.199,0.152,-0.215,0.000,0.000,0.413,0.393,2,NULL,NULL,,2,0,2,7,255,1151,200,0,0
pre_stim,23,23,0,23,1307689.495,0.485,-0.051,0.147,0.861,1170,2727,1305,2555,2510,2408,2627,1940,0,0.000,1,VALID,785,1,7.005,0.099,-2.313,-5.313,-3.938,0.043,0.352,0.988,0.031,0.094,0.395,0.000,0.000,0.413,0.393,2,NULL,NULL,,2,0,2,7,255,1151,200,0,0
pre_stim,28,28,0,28,1307694.494,0.484,-0.051,0.147,0.861,1087,2715,1304,2519,2519,2405,2631,1956,0,0.000,1,VALID,785,1,6.863,0.346,-1.438,-5.688,-3.563,0.055,0.293,0.934,-0.309,0.156,-0.215,0.000,0.000,0.413,0.393,2,NULL,NULL,,2,0,2,7,255,1151,200,0,0
pre_stim,33,33,0,33,1307699.496,0.484,-0.051,0.147,0.861,999,2703,1293,2487,2524,2405,2638,1971,0,0.000,1,VALID,785,1,7.419,0.099,-2.625,-4.875,-4.938,0.051,0.359,0.969,0.031,0.094,0.281,0.000,0.000,0.413,0.393,2,NULL,NULL,,2,0,2,7,255,1151,200,0,0
pre_stim,38,38,0,38,1307704.496,0.484,-0.051,0.147,0.861,934,2693,1279,2439,2532,2402,2637,1981,0,0.000,1,VALID,785,1,7.322,0.313,-3.188,-4.875,-4.438,0.059,0.301,0.934,-0.297,0.098,-0.203,0.000,0.000,0.413,0.393,2,NULL,NULL,,2,0,2,7,255,1151,200,0,0
pre_stim,43,43,0,43,1307709.496,0.484,-0.050,0.147,0.861,891,2675,1270,2382,2534,2396,2638,1991,0,0.000,1,VALID,785,1,8.265,0.184,-2.125,-4.813,-6.375,0.051,0.328,0.984,-0.156,0.098,0.281,0.000,0.000,0.413,0.393,2,NULL,NULL,,2,0,2,7,255,1151,200,0,0
pre_stim,48,48,0,48,1307714.501,0.484,-0.050,0.147,0.861,800,2657,1257,2323,2547,2394,2641,2014,0,0.000,1,VALID,785,1,7.653,0.184,0.313,-5.313,-5.500,0.055,0.344,0.930,-0.156,0.098,-0.121,0.000,0.000,0.413,0.393,2,NULL,NULL,,2,0,2,7,255,1151,200,0,0
pre_stim,53,53,0,53,1307719.495,0.483,-0.050,0.147,0.862,713,2641,1241,2265,2551,2391,2642,2027,0,0.000,1,VALID,785,1,9.523,0.097,-3.813,-5.125,-7.063,0.047,0.359,0.941,0.066,-0.070,0.023,0.000,0.000,0.413,0.393,2,NULL,NULL,,2,0,2,7,255,1151,200,0,0
pre_stim,57,57,0,57,1307724.493,0.483,-0.050,0.147,0.862,603,2616,1223,2205,2568,2387,2643,2043,0,0.000,1,VALID,785,1,10.548,0.245,-5.688,-5.625,-6.875,0.031,0.375,0.934,0.234,-0.070,-0.008,0.000,0.000,0.413,0.393,2,NULL,NULL,,2,0,2,7,255,1151,200,0,0
pre_stim,63,63,0,63,1307729.497,0.483,-0.049,0.147,0.862,517,2591,1195,2135,2572,2382,2644,2067,0,0.000,1,VALID,785,1,11.010,0.236,-8.688,-5.750,-3.563,0.035,0.320,0.953,0.234,-0.031,-0.004,0.000,0.000,0.413,0.393,2,NULL,NULL,,2,0,2,7,255,1151,200,0,0
pre_stim,68,68,0,68,1307734.494,0.483,-0.049,0.147,0.862,447,2571,1165,2065,2579,2377,2649,2077,0,0.000,1,VALID,785,1,9.294,0.223,-6.250,-6.063,-3.250,0.059,0.297,0.988,-0.043,0.219,-0.004,0.000,0.000,0.413,0.393,2,NULL,NULL,,2,0,2,7,255,1151,200,0,0
pre_stim,73,73,0,73,1307739.494,0.482,-0.049,0.147,0.862,393,2537,1141,1965,2585,2365,2646,2096,0,0.000,1,VALID,785,1,8.835,0.391,-2.563,-6.313,-5.625,0.063,0.305,0.961,-0.324,0.219,0.055,0.000,0.000,0.413,0.393,2,NULL,NULL,,2,0,2,7,255,1151,200,0,0
pre_stim,78,78,0,78,1307744.494,0.482,-0.049,0.147,0.862,327,2515,1123,1876,2590,2357,2647,2109,0,0.000,1,VALID,785,1,9.912,0.340,-2.813,-6.563,-6.875,0.047,0.344,0.953,-0.324,0.102,0.102,0.000,0.000,0.413,0.393,2,NULL,NULL,,2,0,2,7,255,1151,200,0,0
