condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,5,5,0,5,1867549.494,-0.984,0.107,-0.044,-0.137,2764,1634,181,3107,1727,2869,36,2121,0,0.159,1,VALID,1114,1,15.568,0.260,-14.500,0.688,-5.625,0.047,0.246,0.977,-0.141,-0.219,0.090,0.026,0.028,0.541,0.544,2,NULL,NULL,1151.000,2,0,2,2,255,1151,200,0,0
pre_stim,10,10,0,10,1867554.494,-0.984,0.106,-0.044,-0.138,2765,1609,183,3108,1724,2869,17,2125,0,0.159,1,VALID,1114,1,15.863,0.161,-15.063,0.625,-4.938,0.051,0.270,0.965,-0.141,-0.078,0.027,0.028,0.028,0.541,0.544,2,NULL,NULL,,2,0,2,2,255,1151,200,0,0
pre_stim,15,15,0,15,1867559.495,-0.984,0.106,-0.044,-0.138,2767,1587,171,3103,1717,2872,13,2109,0,0.159,1,VALID,1114,1,16.356,0.079,-15.813,0.688,-4.125,0.059,0.262,0.965,-0.008,0.078,-0.035,0.028,0.028,0.541,0.544,2,NULL,NULL,,2,0,2,2,255,1151,200,0,0
pre_stim,20,20,0,20,1867564.496,-0.984,0.105,-0.044,-0.138,2771,1577,171,3107,1719,2875,15,2131,0,0.159,1,VALID,1114,1,17.312,0.079,-16.563,0.625,-5.000,0.047,0.242,0.980,-0.008,0.078,-0.035,0.028,0.028,0.541,0.544,2,NULL,NULL,,2,0,2,2,255,1151,200,0,0
pre_stim,25,25,0,25,1867569.495,-0.984,0.104,-0.043,-0.138,2773,1561,171,3107,1717,2877,11,2133,0,0.000,1,VALID,1114,1,15.555,0.150,-15.188,0.563,-3.313,0.043,0.215,0.992,-0.113,-0.098,0.059,0.028,0.030,0.541,0.544,2,NULL,NULL,,2,0,2,2,255,1151,200,0,0
pre_stim,30,30,0,30,1867574.494,-0.984,0.104,-0.043,-0.138,2773,1553,170,3107,1719,2879,11,2135,0,0.000,1,VALID,1114,1,13.276,0.414,-12.750,0.313,-3.688,0.039,0.207,1.016,-0.230,-0.344,0.078,0.028,0.030,0.541,0.544,2,NULL,NULL,,2,0,2,2,255,1151,200,0,0
pre_stim,35,35,0,35,1867579.495,-0.984,0.103,-0.043,-0.138,2773,1549,169,3104,1719,2885,11,2139,0,0.000,1,VALID,1114,1,9.034,0.529,-8.938,0.125,-1.313,0.043,0.191,0.996,-0.297,-0.438,0.090,0.028,0.030,0.541,0.544,2,NULL,NULL,,2,0,2,2,255,1151,200,0,0
pre_stim,40,40,0,40,1867584.494,-0.984,0.103,-0.043,-0.139,2775,1553,169,3103,1718,2886,11,2142,0,0.000,1,VALID,1114,1,7.091,0.529,-7.000,-0.125,-1.125,0.055,0.211,1.016,-0.297,-0.438,0.305,0.028,0.030,0.541,0.544,2,NULL,NULL,,2,0,2,2,255,1151,200,0,0
pre_stim,45,45,0,45,1867589.500,-0.984,0.103,-0.043,-0.139,2774,1549,167,3108,1717,2887,11,2143,0,0.000,1,VALID,1114,1,3.647,0.443,-3.625,-0.313,-0.250,0.066,0.223,0.977,-0.168,-0.410,0.090,0.028,0.028,0.541,0.544,2,NULL,NULL,,2,0,2,2,255,1151,200,0,0
pre_stim,50,50,0,50,1867594.497,-0.984,0.102,-0.043,-0.139,2775,1544,167,3103,1716,2887,13,2147,0,0.000,1,VALID,1114,1,5.021,0.273,-4.750,-0.063,-1.625,0.074,0.246,0.977,0.043,-0.270,0.031,0.028,0.028,0.541,0.544,2,NULL,NULL,,2,0,2,2,255,1151,200,0,0
