condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,30,30,0,670430.969,0.975,0.172,-0.126,0.071,2073,113,876,1863,832,154,0,1302,64,0.000,121,1,1.909,0.019,0.620,-0.300,1.780,-0.137,-0.164,0.977,0.010,0.016,0.000,0.000,0.000,0.196,0.052,2,NULL,NULL,1091.000,1,0,0,7,255,,0,0,0
stim,30,30,0,670435.969,0.974,0.172,-0.126,0.071,2083,108,875,1865,841,153,0,1314,64,0.000,121,1,1.854,0.013,0.000,0.740,-1.700,-0.137,-0.165,0.977,0.004,0.012,-0.002,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,30,30,0,670440.969,0.975,0.172,-0.126,0.071,2089,106,872,1864,837,159,0,1306,64,0.000,121,1,1.507,0.019,0.680,-0.120,1.340,-0.137,-0.164,0.979,0.010,0.016,0.000,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,30,30,0,670445.969,0.975,0.172,-0.126,0.071,2079,108,872,1855,840,160,0,1305,64,0.000,121,1,1.039,0.013,-0.120,0.740,-0.720,-0.139,-0.167,0.975,0.004,0.012,-0.002,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,30,30,0,670450.969,0.975,0.172,-0.126,0.071,2079,107,876,1865,841,155,0,1311,64,0.000,121,1,0.810,0.025,0.680,0.020,0.440,-0.136,-0.163,0.981,0.012,0.022,0.014,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,30,30,0,670455.969,0.975,0.172,-0.126,0.071,2086,117,873,1850,828,153,0,1308,64,0.000,121,1,0.466,0.015,-0.180,0.380,0.200,-0.139,-0.167,0.970,-0.014,-0.006,-0.012,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,30,30,0,670460.969,0.975,0.172,-0.126,0.071,2087,111,872,1862,836,163,0,1312,64,0.000,121,1,0.995,0.002,0.740,0.560,-0.360,-0.138,-0.167,0.982,0.002,0.000,0.036,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,30,30,0,670465.969,0.975,0.172,-0.126,0.071,2092,113,863,1864,836,161,0,1306,64,0.000,121,1,0.409,0.010,-0.180,-0.180,0.320,-0.138,-0.161,0.971,-0.010,0.000,-0.056,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,30,30,1,670470.969,0.975,0.172,-0.126,0.071,2089,111,863,1865,841,158,0,1308,64,0.000,121,1,1.003,0.002,0.240,0.920,0.320,-0.137,-0.174,0.982,0.002,0.000,0.054,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,30,30,1,670475.969,0.975,0.172,-0.126,0.071,2088,109,862,1866,847,155,0,1305,64,0.000,121,1,0.964,0.039,0.740,-0.300,-0.540,-0.139,-0.159,0.973,-0.008,0.038,-0.046,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,96,96,1,670480.971,0.975,0.172,-0.126,0.071,2089,110,862,1863,827,151,0,1305,64,0.000,121,1,0.920,0.020,0.000,0.620,0.680,-0.135,-0.167,0.977,0.002,-0.020,0.004,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,96,96,1,670485.969,0.975,0.172,-0.126,0.071,2089,107,857,1867,831,156,0,1305,64,0.000,121,1,0.437,0.022,0.420,0.020,-0.120,-0.139,-0.170,0.977,-0.008,-0.020,0.004,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,96,96,1,670490.969,0.975,0.172,-0.126,0.071,2091,104,865,1875,837,157,0,1309,64,0.000,121,1,1.033,0.022,0.680,0.740,-0.240,-0.137,-0.161,0.975,0.008,-0.020,0.004,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,96,96,1,670495.969,0.975,0.172,-0.126,0.071,2089,105,859,1871,837,157,0,1305,64,0.000,121,1,0.984,0.020,-0.180,-0.300,0.920,-0.137,-0.168,0.979,0.004,-0.020,0.008,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,96,96,1,670500.969,0.975,0.172,-0.126,0.071,2093,105,859,1877,831,163,0,1311,64,0.000,121,1,1.424,0.004,0.740,0.980,-0.720,-0.138,-0.166,0.975,0.004,-0.002,-0.018,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,98,98,1,670505.969,0.975,0.172,-0.126,0.071,2098,104,856,1881,840,157,0,1307,64,0.000,121,1,1.077,0.004,0.360,-0.540,0.860,-0.139,-0.165,0.980,-0.004,-0.002,0.022,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,98,98,1,670510.969,0.975,0.172,-0.126,0.071,2107,107,857,1876,827,153,0,1315,64,0.000,121,1,1.023,0.004,0.360,0.860,-0.420,-0.137,-0.166,0.972,-0.004,-0.002,-0.018,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,98,98,1,670515.969,0.975,0.172,-0.126,0.071,2093,112,859,1879,840,161,0,1309,64,0.000,121,1,0.771,0.007,0.180,-0.120,0.740,-0.142,-0.172,0.982,-0.004,-0.006,0.038,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,98,98,1,670520.969,0.975,0.172,-0.126,0.071,2103,107,853,1878,832,157,0,1307,64,0.000,121,1,1.015,0.007,0.920,0.380,0.200,-0.131,-0.157,0.970,-0.004,-0.006,-0.048,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,100,100,1,670525.969,0.975,0.172,-0.126,0.071,2096,100,856,1883,836,155,0,1308,64,0.000,121,1,0.750,0.048,-0.240,0.380,-0.600,-0.140,-0.171,0.982,-0.018,-0.044,0.064,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,129,129,1,670530.969,0.975,0.172,-0.126,0.071,2091,110,859,1879,827,153,0,1307,64,0.000,121,1,1.465,0.048,0.360,0.000,1.420,-0.149,-0.182,0.971,-0.018,-0.044,-0.014,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,129,129,1,670535.969,0.975,0.172,-0.126,0.071,2109,104,855,1882,837,153,0,1315,64,0.000,121,1,1.751,0.048,1.720,0.320,-0.060,-0.113,-0.128,0.987,-0.018,-0.044,0.010,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,129,129,1,670540.969,0.975,0.172,-0.126,0.071,2109,101,857,1895,829,151,0,1309,64,0.000,121,1,2.348,0.201,-1.100,-0.240,-2.060,-0.154,-0.188,0.963,-0.142,-0.142,-0.014,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,129,129,1,670545.969,0.975,0.172,-0.126,0.071,2099,101,859,1895,829,153,0,1309,64,0.000,121,1,4.054,0.287,-0.120,0.320,4.040,-0.157,-0.193,0.991,-0.198,-0.208,0.010,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,129,129,1,670550.969,0.975,0.171,-0.126,0.071,2117,101,857,1885,827,155,0,1313,64,0.000,121,1,3.049,0.287,3.000,0.060,-0.540,-0.106,-0.119,0.974,-0.198,-0.208,-0.070,0.000,0.000,0.196,0.052,2,NULL,NULL,,1,1,0,7,255,,0,0,0
