condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,37,37,0,141948.951,1.000,0.004,0.003,0.001,1261,1276,520,1619,2189,1752,1116,1876,52,0.000,5,1,0.157,0.010,-0.120,0.020,0.100,0.089,0.189,0.978,-0.006,-0.008,-0.020,0.000,0.000,0.000,0.000,2,NULL,NULL,1234.000,0,0,0,7,255,450,250,0,0
baseline,47,47,0,141953.949,1.000,0.004,0.003,0.001,1263,1274,522,1615,2186,1748,1113,1869,52,0.000,5,1,0.075,0.010,0.060,0.020,0.040,0.091,0.192,0.981,-0.006,-0.008,-0.020,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,450,250,0,0
baseline,47,47,0,141958.950,1.000,0.004,0.004,0.001,1261,1275,521,1612,2181,1749,1116,1871,52,0.000,5,1,0.108,0.018,0.060,0.080,0.040,0.092,0.193,0.981,0.016,-0.008,0.006,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,450,250,0,0
baseline,47,47,0,141963.949,1.000,0.004,0.003,0.001,1267,1274,521,1621,2184,1753,1115,1869,52,0.000,5,1,0.108,0.016,-0.060,0.080,0.040,0.089,0.194,0.981,0.016,0.000,0.010,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,450,250,0,0
baseline,47,47,0,141968.949,1.000,0.005,0.003,0.001,1260,1273,523,1610,2176,1749,1117,1875,52,0.000,5,1,0.244,0.002,-0.120,0.140,0.160,0.089,0.190,0.980,-0.002,0.000,0.010,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,450,250,0,0
baseline,47,47,0,141973.950,1.000,0.005,0.003,0.001,1260,1277,519,1618,2188,1750,1113,1875,52,0.000,5,1,0.368,0.016,0.000,0.140,0.340,0.089,0.191,0.980,-0.004,-0.016,-0.002,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,450,250,0,0
baseline,47,47,0,141978.949,1.000,0.004,0.003,0.001,1259,1276,521,1615,2187,1751,1122,1871,52,0.000,5,1,0.295,0.016,0.180,0.080,0.220,0.091,0.196,0.978,-0.002,-0.016,-0.008,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,450,250,0,0
baseline,64,64,0,141983.949,1.000,0.004,0.004,0.001,1259,1275,523,1614,2184,1751,1122,1883,52,0.000,5,1,0.175,0.044,0.060,-0.040,-0.160,0.093,0.200,0.979,0.018,0.040,-0.002,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,450,250,0,0
baseline,64,64,0,141988.951,1.000,0.005,0.004,0.001,1260,1275,523,1623,2186,1749,1120,1878,52,0.000,5,1,0.665,0.044,-0.620,-0.100,-0.220,0.087,0.188,0.982,0.018,0.040,0.008,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,141993.951,1.000,0.005,0.004,0.001,1267,1287,530,1623,2201,1763,1127,1883,52,0.000,5,1,0.854,0.050,-0.560,0.080,0.640,0.083,0.178,0.983,-0.024,-0.044,0.008,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
