condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,49,49,0,157158.362,0.960,0.189,-0.119,0.172,0,0,0,79,0,71,0,61,45,0.040,5,0,2.703,0.866,2.100,-0.580,1.600,-0.131,-0.197,0.968,-0.866,0.002,-0.034,0.000,0.000,0.169,0.052,0,NULL,NULL,1289.000,0,0,0,7,255,450,250,0,0
baseline,49,49,0,157163.362,0.960,0.189,-0.119,0.172,0,0,0,83,0,63,0,62,45,0.040,5,0,2.979,0.734,2.840,-0.840,0.320,-0.124,-0.185,0.963,-0.724,0.118,-0.072,0.000,0.000,0.169,0.052,0,NULL,NULL,,0,0,0,7,255,450,250,0,0
baseline,49,49,0,157168.362,0.960,0.188,-0.119,0.172,0,0,0,85,0,69,0,63,45,0.040,5,0,2.310,0.734,1.860,-1.200,-0.660,-0.142,-0.217,0.965,-0.724,0.118,-0.072,0.000,0.000,0.169,0.052,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,49,49,0,157173.362,0.960,0.189,-0.119,0.172,0,0,0,89,0,69,0,69,45,0.040,5,0,2.429,0.891,-0.040,-0.720,2.320,-0.164,-0.257,0.972,-0.890,-0.042,-0.054,0.000,0.000,0.169,0.052,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,49,49,0,157178.362,0.960,0.188,-0.119,0.171,0,0,0,93,0,69,0,72,45,0.040,5,0,3.978,0.891,0.640,-0.220,3.920,-0.136,-0.207,0.974,-0.890,-0.042,0.004,0.000,0.000,0.169,0.052,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,49,49,0,157183.362,0.960,0.188,-0.119,0.171,0,0,0,89,0,61,0,69,45,0.040,5,0,3.187,0.793,2.900,-1.020,-0.840,-0.105,-0.161,0.964,-0.792,0.046,0.004,0.000,0.000,0.169,0.052,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,50,50,0,157188.362,0.960,0.188,-0.119,0.171,0,0,0,87,0,67,0,64,45,0.040,5,0,2.656,0.793,1.620,-1.320,-1.640,-0.142,-0.224,0.959,-0.792,0.046,-0.092,0.000,0.000,0.169,0.052,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,50,50,0,157193.362,0.960,0.188,-0.119,0.171,0,0,0,89,0,62,0,69,45,0.040,5,0,2.880,0.926,0.580,-1.140,2.580,-0.149,-0.226,0.972,-0.922,-0.090,-0.092,0.000,0.000,0.169,0.052,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,50,50,0,157198.362,0.960,0.188,-0.119,0.171,0,0,0,89,0,67,0,69,45,0.040,5,0,1.826,0.926,1.800,-0.280,-0.120,-0.130,-0.195,0.964,-0.922,-0.090,-0.092,0.000,0.000,0.169,0.052,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,50,50,0,157203.362,0.960,0.188,-0.119,0.171,0,0,0,93,0,67,0,63,45,0.040,5,0,2.593,0.978,-0.460,-1.560,2.020,-0.146,-0.235,0.964,-0.974,-0.090,-0.018,0.000,0.000,0.169,0.052,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
