condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,0,0,0,417878.303,0.859,0.129,-0.207,0.450,447,0,0,603,0,0,0,133,23,0.000,40,0,3.278,0.261,-1.120,0.360,3.060,-0.183,-0.249,0.971,-0.260,0.024,0.098,0.000,0.000,0.295,0.140,0,NULL,NULL,1091.000,0,0,0,7,255,0,250,0,0
baseline,0,0,0,417883.303,0.859,0.128,-0.207,0.450,439,0,0,605,0,0,0,112,23,0.000,40,0,2.491,0.261,1.260,0.540,2.080,-0.139,-0.191,0.966,-0.260,0.020,0.098,0.000,0.000,0.295,0.140,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,0,0,0,417888.303,0.859,0.128,-0.207,0.450,441,0,0,603,0,0,0,116,23,0.000,40,0,4.062,0.404,2.420,-0.380,-3.240,-0.129,-0.179,0.947,0.404,-0.020,-0.054,0.000,0.000,0.295,0.140,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,0,0,0,417893.303,0.859,0.128,-0.207,0.450,451,0,0,601,0,0,0,119,23,0.000,40,0,2.417,0.404,-1.440,-0.620,-1.840,-0.191,-0.269,0.951,0.404,-0.020,-0.054,0.000,0.000,0.295,0.140,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,0,0,0,417898.303,0.859,0.129,-0.207,0.450,441,0,0,605,0,0,0,115,23,0.000,40,0,4.863,0.369,-2.040,0.360,4.400,-0.190,-0.259,0.975,-0.368,-0.020,0.052,0.000,0.000,0.295,0.140,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,417903.303,0.859,0.128,-0.207,0.450,436,0,0,604,0,0,0,118,23,0.000,40,0,2.828,0.369,2.780,0.300,-0.420,-0.128,-0.167,0.965,-0.368,0.022,0.052,0.000,0.000,0.295,0.140,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,417908.303,0.859,0.128,-0.207,0.450,442,0,0,612,0,0,0,117,23,0.000,40,0,3.029,0.247,-0.340,0.240,-3.000,-0.172,-0.246,0.948,-0.246,0.022,-0.050,0.000,0.000,0.295,0.140,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,417913.301,0.859,0.128,-0.207,0.450,445,0,0,603,0,0,0,117,23,0.000,40,0,4.017,0.191,-1.180,-1.160,3.660,-0.178,-0.241,0.964,-0.190,0.022,-0.050,0.000,0.000,0.295,0.140,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,417918.303,0.859,0.128,-0.207,0.450,445,0,0,605,0,0,0,125,23,0.000,40,0,3.791,0.191,2.720,1.460,-2.200,-0.144,-0.185,0.969,-0.190,0.022,-0.030,0.000,0.000,0.295,0.140,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,417923.303,0.859,0.129,-0.207,0.450,447,0,0,607,0,0,0,119,23,0.000,40,0,3.761,0.191,-3.080,-1.160,1.820,-0.190,-0.278,0.942,-0.190,0.022,-0.008,0.000,0.000,0.295,0.140,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,62,62,0,417928.303,0.859,0.128,-0.207,0.450,457,0,0,605,0,0,0,119,23,0.000,40,0,3.595,0.445,3.580,0.300,-0.120,-0.132,-0.161,0.983,0.442,0.052,-0.008,0.000,0.000,0.295,0.140,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,62,62,0,417933.303,0.859,0.128,-0.207,0.450,457,0,0,613,0,0,0,127,23,0.000,40,0,2.870,0.609,-2.540,0.840,-1.040,-0.193,-0.287,0.937,-0.604,-0.078,-0.008,0.000,0.000,0.295,0.140,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,62,62,0,417938.303,0.859,0.128,-0.207,0.450,443,0,0,613,0,0,0,118,23,0.000,40,0,3.517,0.623,1.560,-1.660,2.680,-0.139,-0.169,0.980,0.616,0.090,0.030,0.000,0.000,0.295,0.140,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,62,62,0,417943.303,0.859,0.128,-0.207,0.450,457,0,0,610,0,0,0,124,23,0.000,40,0,4.057,0.439,-0.080,2.180,-3.420,-0.181,-0.264,0.949,-0.432,-0.080,0.008,0.000,0.000,0.295,0.140,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,62,62,0,417948.303,0.859,0.128,-0.207,0.450,457,0,0,612,0,0,0,119,23,0.000,40,0,4.902,0.325,-0.580,-2.460,4.200,-0.155,-0.192,0.965,0.308,0.104,0.008,0.000,0.000,0.295,0.140,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
