experiment_id,experiment_type,subject_id,note,random_seed,created_at,order_index,block_index,condition_id,mode,direction_percent,first_half_direction_percent,second_half_direction_percent,pulse_duration_ms,pulse_phase,sine_amplitude_percent,sine_period_steps,sine_phase_offset
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,1,0,B01,baseline,,,,,,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,2,1,C26,pulse,0,0,0,300,P_end,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,3,1,C05,pulse,10,10,-10,250,P_end,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,4,1,C16,pulse,20,20,-20,300,P_start,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,5,1,C12,pulse,20,20,-20,200,P_mid,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,6,1,C08,pulse,10,10,-10,300,P_end,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,7,1,C23,pulse,0,0,0,250,P_end,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,8,2,C18,pulse,20,-20,20,300,P_mid,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,9,2,C04,pulse,10,10,-10,250,P_start,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,10,2,C27,pulse,0,0,0,300,P_mid,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,11,2,C20,pulse,0,0,0,200,P_end,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,12,2,C14,pulse,20,-20,20,250,P_end,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,13,2,C10,pulse,20,-20,20,200,P_start,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,14,3,S01,sine,,,,250,P_mid,20,400,0
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,15,3,C01,pulse,10,-10,10,200,P_start,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,16,3,C25,pulse,0,0,0,300,P_start,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,17,3,C06,pulse,10,-10,10,250,P_mid,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,18,3,C21,pulse,0,0,0,200,P_mid,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,19,3,C17,pulse,20,-20,20,300,P_end,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,20,4,C24,pulse,0,0,0,250,P_mid,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,21,4,C13,pulse,20,20,-20,250,P_start,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,22,4,C07,pulse,10,-10,10,300,P_start,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,23,4,C03,pulse,10,10,-10,200,P_mid,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,24,4,C22,pulse,0,0,0,250,P_start,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,25,4,C11,pulse,20,-20,20,200,P_end,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,26,5,C02,pulse,10,10,-10,200,P_end,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,27,5,C15,pulse,20,20,-20,250,P_mid,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,28,5,C09,pulse,10,10,-10,300,P_mid,,,
EX0803-110945,experiment_1,1,,580560,2026-08-03T11:09:45.446659,29,5,C19,pulse,0,0,0,200,P_start,,,
