condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,30,30,0,197272.433,0.930,0.127,-0.159,-0.304,3038,0,7,2314,341,426,0,391,20,0.270,90,0,13.777,2.590,-4.980,12.420,3.280,-0.160,-0.100,0.964,2.586,0.144,-0.500,0.000,0.000,4.095,0.422,2,NULL,NULL,656.000,0,0,0,7,255,,250,0,0
stim,30,30,0,197277.432,0.930,0.127,-0.159,-0.304,3055,0,10,2338,341,429,0,389,20,0.270,90,0,13.179,2.610,-4.360,11.980,3.340,-0.153,-0.073,0.976,2.606,0.144,-0.626,0.000,0.000,4.095,0.422,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,30,30,0,197282.432,0.930,0.127,-0.159,-0.305,3044,0,8,2323,328,427,0,376,20,0.270,90,0,12.701,2.639,-4.000,11.980,1.340,-0.173,-0.045,1.013,2.606,0.418,-0.626,0.000,0.000,4.095,0.422,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,46,46,0,197287.432,0.930,0.127,-0.160,-0.304,3042,0,9,2322,325,429,0,380,20,0.270,90,0,13.661,2.411,-4.660,12.840,-0.200,-0.195,-0.073,1.013,2.374,0.418,-0.256,0.000,0.000,4.095,0.422,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,46,46,0,197292.432,0.930,0.127,-0.160,-0.305,3047,0,7,2331,331,429,0,383,20,0.270,90,0,14.369,2.396,-5.280,13.080,2.740,-0.166,-0.126,0.950,2.374,0.324,-0.256,0.000,0.000,4.095,0.422,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,46,46,0,197297.432,0.930,0.127,-0.160,-0.305,3039,0,11,2325,338,425,0,391,20,0.270,90,0,13.867,2.773,-4.660,12.040,5.060,-0.140,-0.091,0.951,2.760,0.270,-0.734,0.000,0.000,4.095,0.422,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,46,46,0,197302.432,0.930,0.127,-0.160,-0.305,3039,0,10,2329,333,423,0,389,20,0.270,90,0,12.774,2.773,-4.840,11.800,0.720,-0.192,-0.040,1.039,2.760,0.270,-0.734,0.000,0.000,4.095,0.422,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,46,46,0,197307.432,0.930,0.127,-0.160,-0.305,3039,0,9,2335,315,434,0,379,20,0.270,90,0,14.005,2.582,-4.840,13.140,0.240,-0.180,-0.096,0.986,2.568,0.270,-0.400,0.000,0.000,4.095,0.422,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,46,46,0,197312.432,0.930,0.127,-0.160,-0.305,3043,0,8,2325,327,423,0,389,20,0.270,90,0,13.989,2.572,-3.700,12.600,4.820,-0.130,-0.104,0.927,2.568,0.152,-0.400,0.000,0.000,4.095,0.422,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,46,46,0,197317.434,0.930,0.127,-0.160,-0.305,3050,0,5,2327,333,425,0,377,20,0.270,90,0,13.512,2.572,-6.440,11.860,0.660,-0.220,-0.055,1.055,2.568,0.152,-0.400,0.000,0.000,4.095,0.422,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,95,95,0,197322.432,0.930,0.128,-0.160,-0.305,3044,0,11,2329,326,429,0,389,20,0.270,90,0,13.951,2.860,-4.240,13.140,2.000,-0.134,-0.104,0.939,2.854,0.178,-0.982,0.000,0.000,4.095,0.422,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,95,95,0,197327.433,0.930,0.127,-0.160,-0.305,3049,0,9,2331,326,425,0,380,20,0.270,90,0,13.103,2.538,-2.840,12.220,3.780,-0.168,-0.073,0.983,2.510,0.374,-0.500,0.000,0.000,4.095,0.422,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,95,95,0,197332.432,0.930,0.128,-0.160,-0.305,3063,0,5,2332,331,430,0,379,20,0.270,90,0,15.074,2.522,-8.700,12.300,-0.500,-0.223,-0.081,1.045,2.510,0.242,-0.500,0.000,0.000,4.095,0.422,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,95,95,0,197337.432,0.930,0.128,-0.160,-0.305,3061,0,11,2341,341,421,0,391,20,0.270,90,0,14.095,2.534,-0.080,12.960,5.540,-0.074,-0.096,0.878,2.510,0.348,-0.500,0.000,0.000,4.095,0.422,2,NULL,NULL,,0,0,0,7,255,,250,0,0
