condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,40,40,0,1485665.312,-0.912,0.209,0.252,-0.248,2828,435,853,2920,25,975,665,615,57,0.000,775,1,2.532,0.042,-0.940,2.320,0.380,-0.719,0.250,0.661,0.042,-0.002,0.042,0.000,0.000,0.150,0.414,2,NULL,NULL,909.000,1,0,3,7,255,,250,0,0
stim,40,40,0,1485670.311,-0.912,0.209,0.252,-0.248,2829,427,857,2923,27,971,669,615,57,0.000,775,1,3.223,0.030,-1.360,2.920,-0.120,-0.718,0.243,0.654,-0.022,-0.020,-0.026,0.000,0.000,0.150,0.414,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,40,40,0,1485675.311,-0.912,0.209,0.252,-0.247,2827,430,867,2925,27,981,671,605,57,0.000,775,1,2.635,0.030,-0.940,2.460,0.080,-0.719,0.249,0.660,0.030,-0.002,0.030,0.000,0.000,0.150,0.414,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,40,40,0,1485680.311,-0.912,0.209,0.252,-0.247,2827,457,869,2904,23,983,668,603,57,0.000,775,1,3.139,0.022,-1.000,2.960,-0.300,-0.721,0.245,0.654,-0.022,0.000,-0.006,0.000,0.000,0.150,0.414,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,40,40,0,1485685.311,-0.912,0.209,0.252,-0.247,2829,439,862,2916,24,973,669,612,57,0.000,775,1,2.830,0.006,-1.000,2.640,0.200,-0.722,0.247,0.658,-0.002,0.006,0.030,0.000,0.000,0.150,0.414,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,56,56,0,1485690.311,-0.912,0.209,0.252,-0.247,2825,452,863,2924,29,975,668,620,57,0.000,775,1,2.947,0.011,-0.760,2.840,0.200,-0.722,0.248,0.656,-0.008,0.008,0.026,0.000,0.000,0.150,0.414,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,56,56,0,1485695.311,-0.912,0.209,0.252,-0.247,2838,439,862,2925,23,979,671,621,57,0.000,775,1,3.125,0.010,-1.120,2.900,0.320,-0.721,0.244,0.655,-0.008,0.006,0.026,0.000,0.000,0.150,0.414,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,56,56,0,1485700.311,-0.912,0.208,0.252,-0.247,2856,435,865,2907,26,979,681,627,57,0.000,775,1,3.116,0.011,-1.180,2.840,0.500,-0.719,0.246,0.659,-0.008,-0.008,0.016,0.000,0.000,0.150,0.414,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,56,56,0,1485705.312,-0.912,0.208,0.252,-0.247,2829,432,860,2939,27,971,677,616,57,0.000,775,1,2.979,0.016,-0.520,2.900,0.440,-0.721,0.248,0.658,0.014,-0.008,0.016,0.000,0.000,0.150,0.414,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,56,56,0,1485710.312,-0.912,0.208,0.252,-0.247,2831,437,859,2941,26,983,673,615,57,0.000,775,1,2.861,0.017,-0.320,2.840,0.140,-0.720,0.243,0.648,0.014,0.010,0.016,0.000,0.000,0.150,0.414,2,NULL,NULL,,1,0,3,7,255,,250,0,0
