condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,53,53,0,391870.048,-0.840,-0.054,0.083,0.534,2986,0,24,2420,1323,303,0,471,36,0.000,153,1,1.131,0.138,-0.200,0.340,1.060,-0.199,-0.031,0.961,0.088,-0.106,-0.012,0.000,0.000,0.055,0.010,2,NULL,NULL,656.000,1,0,3,7,255,,250,0,0
stim,53,53,0,391875.048,-0.840,-0.054,0.083,0.534,2987,0,25,2420,1321,303,0,471,36,0.000,153,1,1.915,0.138,-0.620,-0.340,1.780,-0.191,-0.009,0.963,0.088,-0.106,-0.202,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,53,53,0,391880.047,-0.840,-0.054,0.083,0.534,2984,0,27,2421,1321,299,0,475,36,0.000,153,1,1.277,0.084,-0.920,-0.880,-0.100,-0.203,0.033,1.000,0.064,0.054,-0.202,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,53,53,0,391885.047,-0.840,-0.054,0.083,0.534,2990,0,27,2427,1305,301,0,475,36,0.000,153,1,2.136,0.246,-0.260,-0.040,-2.120,-0.219,0.018,1.014,-0.240,0.054,0.176,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,53,53,0,391890.047,-0.840,-0.054,0.083,0.534,2988,0,29,2425,1304,301,0,471,36,0.000,153,1,1.145,0.240,0.540,1.000,0.140,-0.193,-0.044,0.964,-0.240,0.010,0.176,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,63,63,0,391895.047,-0.840,-0.054,0.082,0.534,2983,0,24,2416,1312,301,0,467,36,0.000,153,1,1.983,0.162,0.000,-0.100,1.980,-0.183,-0.018,0.953,0.162,0.010,-0.192,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,63,63,0,391900.047,-0.840,-0.054,0.083,0.534,2989,0,27,2413,1317,308,0,471,36,0.000,153,1,1.825,0.194,-1.360,-0.880,-0.840,-0.240,0.033,1.016,0.162,-0.106,-0.192,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,63,63,0,391905.047,-0.840,-0.054,0.083,0.534,2979,0,27,2413,1311,304,0,472,36,0.000,153,1,1.184,0.163,-0.980,0.460,-0.480,-0.191,-0.023,0.976,0.162,0.020,-0.078,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,63,63,0,391910.047,-0.840,-0.054,0.082,0.534,2973,0,22,2413,1299,303,0,468,36,0.000,153,1,2.122,0.201,1.520,-0.040,1.480,-0.160,-0.013,0.948,0.200,0.020,-0.078,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,63,63,0,391915.049,-0.840,-0.054,0.083,0.534,2976,0,24,2412,1315,309,0,467,36,0.000,153,1,2.205,0.201,-1.100,-0.340,-1.880,-0.288,0.034,1.042,0.200,0.020,-0.078,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,63,63,0,391920.048,-0.840,-0.054,0.082,0.534,2985,0,25,2421,1323,303,0,473,36,0.000,153,1,2.489,0.351,-2.080,0.140,1.360,-0.131,-0.056,0.924,0.214,0.278,-0.402,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,3,7,255,,250,0,0
