condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,14,14,0,533020.420,-0.752,-0.050,0.109,0.648,3639,148,150,3065,263,212,39,344,1,0.000,156,1,0.559,0.054,0.120,-0.260,-0.480,-0.219,0.079,0.972,-0.044,0.032,-0.042,0.000,0.000,0.055,0.010,2,NULL,NULL,656.000,1,0,1,7,255,,250,0,0
stim,14,14,0,533025.419,-0.752,-0.050,0.109,0.648,3601,152,141,3065,240,215,31,341,1,0.000,156,1,0.378,0.083,-0.360,0.100,0.060,-0.226,0.072,0.979,-0.044,0.070,-0.032,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,14,14,0,533030.419,-0.752,-0.050,0.109,0.648,3615,155,147,3065,219,212,35,350,1,0.000,156,1,0.750,0.082,-0.740,-0.020,0.120,-0.238,0.058,0.979,-0.042,0.070,0.046,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,14,14,0,533035.419,-0.752,-0.050,0.109,0.648,3613,155,153,3063,191,217,29,361,1,0.000,156,1,0.550,0.085,-0.480,-0.200,-0.180,-0.235,0.056,0.974,0.070,-0.048,0.046,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,14,14,0,533040.419,-0.752,-0.050,0.109,0.648,3639,153,147,3056,176,211,41,365,1,0.000,156,1,0.477,0.085,-0.240,-0.200,-0.360,-0.231,0.063,0.972,0.070,-0.048,0.008,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,14,14,0,533045.419,-0.752,-0.050,0.109,0.648,3631,151,144,3055,180,211,36,363,1,0.000,156,1,0.366,0.020,-0.060,-0.200,-0.300,-0.228,0.069,0.972,0.020,0.002,-0.010,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,14,14,0,533050.419,-0.752,-0.050,0.109,0.648,3615,155,150,3064,171,215,35,367,1,0.000,156,1,0.260,0.043,-0.060,-0.080,-0.240,-0.229,0.069,0.972,-0.032,0.028,-0.010,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,14,14,0,533055.419,-0.752,-0.050,0.109,0.648,3623,152,152,3067,165,207,28,363,1,0.000,156,1,0.217,0.047,-0.120,-0.020,-0.180,-0.228,0.068,0.972,-0.032,0.034,-0.014,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,14,14,0,533060.420,-0.752,-0.050,0.109,0.648,3625,155,156,3059,174,209,33,365,1,0.000,156,1,0.255,0.036,-0.180,-0.020,-0.180,-0.229,0.067,0.973,-0.022,0.028,-0.010,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,14,14,0,533065.422,-0.752,-0.050,0.109,0.648,3625,155,158,3067,170,213,39,365,1,0.000,156,1,0.310,0.025,-0.180,-0.080,-0.240,-0.230,0.066,0.974,-0.008,0.024,-0.002,0.000,0.000,0.055,0.010,2,NULL,NULL,,1,0,1,7,255,,250,0,0
