condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,15,15,0,517161.030,-0.991,0.112,0.054,0.051,2733,170,621,2909,21,742,261,635,54,0.396,73,1,13.365,0.657,-0.140,-0.800,-13.340,-0.369,0.189,0.991,0.216,-0.620,0.328,0.238,0.056,0.302,0.333,2,NULL,NULL,909.000,1,0,2,7,255,,250,0,0
stim,15,15,0,517166.030,-0.991,0.112,0.055,0.051,2725,161,602,2903,13,757,264,681,54,0.396,73,1,8.093,0.616,7.320,-1.520,-3.100,-0.370,0.229,0.952,-0.260,-0.558,0.328,0.240,0.056,0.302,0.333,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,15,15,0,517171.030,-0.991,0.112,0.055,0.051,2718,149,560,2888,18,768,272,672,54,0.396,73,1,8.177,0.325,6.040,-1.580,5.280,-0.338,0.249,0.899,-0.304,-0.116,0.122,0.240,0.054,0.302,0.333,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,15,15,0,517176.030,-0.991,0.113,0.055,0.051,2717,171,599,2892,13,779,269,649,54,0.396,73,1,8.186,0.364,0.120,-2.140,7.900,-0.294,0.248,0.877,-0.304,0.200,-0.410,0.238,0.052,0.302,0.333,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,63,63,0,517181.030,-0.991,0.113,0.055,0.052,2717,107,622,2899,20,773,280,601,54,0.396,73,1,8.253,0.203,-6.600,-1.840,4.600,-0.256,0.227,0.894,0.034,0.200,-0.728,0.238,0.048,0.302,0.333,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,63,63,0,517186.030,-0.991,0.112,0.054,0.052,2720,153,558,2915,16,775,291,715,54,0.396,73,1,10.889,0.458,-10.560,-1.100,-2.420,-0.249,0.206,0.926,0.442,0.120,-0.728,0.236,0.046,0.302,0.333,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,63,63,0,517191.031,-0.991,0.111,0.054,0.051,2739,169,647,2907,5,718,293,687,54,0.396,73,1,11.099,0.538,-8.180,-1.100,-7.420,-0.270,0.183,0.955,0.526,-0.112,-0.502,0.236,0.042,0.302,0.333,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,63,63,0,517196.030,-0.991,0.111,0.054,0.051,2731,179,626,2906,6,731,296,677,54,0.396,73,1,9.922,0.615,-3.860,0.060,-9.140,-0.298,0.197,0.971,0.526,-0.318,-0.224,0.234,0.040,0.302,0.333,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,63,63,0,517201.030,-0.991,0.111,0.054,0.051,2736,160,689,2913,3,727,295,739,54,0.396,73,1,5.870,0.433,1.940,-0.060,-5.540,-0.322,0.212,0.958,0.294,-0.318,0.022,0.234,0.038,0.302,0.333,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,63,63,0,517206.032,-0.991,0.111,0.054,0.051,2751,201,678,2927,9,730,302,757,54,0.396,73,1,4.455,0.186,4.380,0.800,-0.160,-0.327,0.234,0.942,0.024,-0.184,0.022,0.234,0.036,0.302,0.333,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,111,111,0,517211.031,-0.991,0.111,0.054,0.051,2765,169,715,2932,18,729,308,767,54,0.396,73,1,7.561,0.054,4.760,0.800,5.820,-0.314,0.235,0.921,-0.036,0.040,-0.058,0.234,0.036,0.302,0.333,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,111,111,0,517216.030,-0.991,0.112,0.054,0.051,2758,192,701,2931,15,688,301,713,54,0.396,73,1,8.827,0.103,3.360,1.160,8.080,-0.292,0.240,0.922,-0.036,0.096,-0.280,0.236,0.036,0.302,0.333,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,111,111,0,517221.030,-0.991,0.112,0.054,0.051,2765,197,701,2937,20,753,299,701,54,0.396,73,1,6.876,0.197,1.580,0.980,6.620,-0.271,0.229,0.918,0.172,0.096,-0.326,0.238,0.036,0.302,0.333,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,111,111,0,517226.030,-0.991,0.112,0.054,0.052,2787,203,711,2931,22,707,298,747,54,0.396,73,1,3.177,0.366,-0.020,1.340,2.880,-0.265,0.216,0.920,0.354,0.094,-0.446,0.240,0.036,0.302,0.333,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,111,111,0,517231.030,-0.991,0.112,0.054,0.051,2780,171,697,2935,24,723,307,791,54,0.396,73,1,3.165,0.363,-1.040,1.100,-2.780,-0.273,0.206,0.927,0.362,-0.022,-0.446,0.240,0.036,0.302,0.333,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,111,111,0,517236.030,-0.991,0.111,0.054,0.051,2783,167,709,2955,21,766,315,843,54,0.396,73,1,6.361,0.388,-2.260,0.740,-5.900,-0.296,0.203,0.926,0.362,-0.140,-0.398,0.242,0.034,0.302,0.333,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,111,111,0,517241.030,-0.991,0.111,0.054,0.051,2796,128,717,2948,23,768,319,838,54,0.396,73,1,7.525,0.230,-2.400,0.420,-7.120,-0.320,0.210,0.937,0.150,-0.174,-0.338,0.244,0.034,0.302,0.333,2,NULL,NULL,,1,0,2,7,255,,250,0,0
