condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,52,52,0,208688.577,0.986,-0.077,0.148,0.024,2485,216,239,2895,51,1034,40,72,12,0.000,10,1,0.631,0.028,-0.560,0.280,0.080,0.080,0.140,0.979,0.000,0.028,0.016,0.000,0.000,0.135,0.344,2,NULL,NULL,909.000,0,0,0,7,255,0,250,0,0
baseline,52,52,0,208693.577,0.986,-0.077,0.148,0.024,2476,212,239,2893,45,1031,37,77,12,0.000,10,1,1.197,0.028,-1.000,0.220,0.620,0.081,0.154,0.993,0.002,0.028,0.016,0.000,0.000,0.135,0.344,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,52,52,0,208698.578,0.986,-0.077,0.148,0.024,2489,213,244,2905,45,1031,37,71,12,0.000,10,1,0.296,0.020,-0.020,0.140,0.260,0.082,0.153,0.994,0.002,0.020,0.050,0.000,0.000,0.135,0.344,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,52,52,0,208703.577,0.986,-0.077,0.148,0.024,2493,211,241,2904,43,1031,37,78,12,0.000,10,1,0.546,0.020,-0.140,0.220,-0.480,0.081,0.147,0.981,0.004,0.020,0.050,0.000,0.000,0.135,0.344,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,52,52,0,208708.579,0.986,-0.077,0.148,0.024,2493,207,241,2905,47,1031,40,85,12,0.000,10,1,1.087,0.004,-1.060,0.220,-0.100,0.079,0.150,0.987,0.004,-0.002,-0.010,0.000,0.000,0.135,0.344,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,52,52,0,208713.577,0.986,-0.077,0.148,0.024,2479,208,245,2891,44,1032,35,79,12,0.000,10,1,0.712,0.010,-0.620,0.140,0.320,0.080,0.153,0.995,-0.010,-0.002,-0.010,0.000,0.000,0.135,0.344,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,52,52,0,208718.577,0.986,-0.077,0.148,0.024,2489,211,240,2893,51,1017,37,47,12,0.000,10,1,0.302,0.018,-0.080,0.080,-0.280,0.078,0.147,0.988,-0.018,-0.002,-0.004,0.000,0.000,0.135,0.344,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,52,52,0,208723.577,0.986,-0.077,0.148,0.024,2483,210,233,2899,47,1033,37,75,12,0.000,10,1,0.859,0.035,-0.440,-0.160,-0.720,0.076,0.146,0.988,-0.024,-0.026,-0.004,0.000,0.000,0.135,0.344,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,208728.577,0.986,-0.076,0.148,0.024,2484,219,229,2893,42,1009,39,35,12,0.000,10,1,1.087,0.064,-0.880,-0.340,-0.540,0.076,0.141,0.993,-0.048,-0.042,-0.004,0.000,0.000,0.135,0.344,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,208733.577,0.986,-0.076,0.148,0.024,2501,220,205,2903,45,1004,38,71,12,0.000,10,1,0.628,0.064,-0.080,-0.460,-0.420,0.077,0.151,0.995,-0.048,-0.042,0.032,0.000,0.000,0.135,0.344,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,208738.577,0.986,-0.076,0.148,0.024,2486,217,223,2901,45,1018,45,19,12,0.000,10,1,0.615,0.042,0.340,-0.400,0.320,0.078,0.156,0.985,-0.042,0.002,0.032,0.000,0.000,0.135,0.344,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,208743.577,0.986,-0.076,0.148,0.024,2499,211,230,2893,43,1043,84,37,12,0.000,10,1,0.831,0.020,-0.260,-0.400,0.680,0.084,0.150,0.981,-0.018,0.008,-0.026,0.000,0.000,0.135,0.344,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,208748.578,0.986,-0.076,0.148,0.024,2500,211,227,2905,46,1051,87,95,12,0.000,10,1,0.721,0.041,-0.620,-0.340,0.140,0.090,0.147,0.987,0.040,0.008,-0.026,0.000,0.000,0.135,0.344,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,82,82,0,208753.579,0.986,-0.076,0.148,0.024,2503,209,232,2907,49,1045,83,109,12,0.000,10,1,0.983,0.068,-0.140,-0.160,-0.960,0.088,0.150,0.990,0.068,-0.006,-0.006,0.000,0.000,0.135,0.344,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,95,95,0,208778.577,0.986,-0.077,0.148,0.024,2501,213,243,2908,47,1045,59,16,12,0.000,10,1,0.645,0.028,-0.640,0.080,0.020,0.082,0.153,0.989,0.004,0.028,0.006,0.000,0.000,0.135,0.344,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,95,95,0,208783.577,0.986,-0.076,0.148,0.024,2505,216,304,2900,51,1044,75,20,12,0.000,10,1,0.712,0.017,-0.700,0.080,-0.100,0.082,0.149,0.988,0.012,-0.012,-0.004,0.000,0.000,0.135,0.344,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,95,95,0,208788.577,0.986,-0.076,0.148,0.024,2508,219,345,2907,45,1043,75,18,12,0.000,10,1,1.072,0.017,-1.000,0.140,-0.360,0.081,0.146,0.988,0.012,-0.012,-0.004,0.000,0.000,0.135,0.344,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,95,95,0,208793.577,0.986,-0.076,0.148,0.024,2508,212,391,2899,45,1022,75,21,12,0.000,10,1,1.206,0.012,-1.060,0.200,-0.540,0.077,0.152,0.991,0.002,-0.012,-0.004,0.000,0.000,0.135,0.344,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,112,112,0,208798.577,0.986,-0.076,0.148,0.024,2505,208,397,2901,51,1035,90,18,12,0.000,10,1,1.072,0.037,-1.000,0.140,-0.360,0.076,0.149,0.989,-0.036,-0.008,0.006,0.000,0.000,0.135,0.344,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,112,112,0,208803.578,0.986,-0.076,0.148,0.024,2517,213,407,2914,51,1015,91,16,12,0.000,10,1,1.191,0.051,-1.180,0.140,0.080,0.075,0.147,0.989,-0.050,-0.008,0.006,0.000,0.000,0.135,0.344,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,162,162,0,208808.578,0.986,-0.076,0.148,0.024,2517,209,408,2914,53,1021,90,16,12,0.000,10,1,1.148,0.051,-1.060,0.020,0.440,0.079,0.153,0.990,-0.050,-0.008,0.006,0.000,0.000,0.135,0.344,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,162,162,0,208813.577,0.986,-0.076,0.148,0.024,2505,197,392,2903,49,1022,90,15,12,0.000,10,1,1.041,0.023,-0.940,0.080,0.440,0.081,0.147,0.986,-0.014,-0.018,-0.002,0.000,0.000,0.135,0.344,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,162,162,0,208818.577,0.986,-0.076,0.148,0.024,2515,199,379,2913,48,1033,89,17,12,0.000,10,1,1.064,0.020,-1.060,0.080,-0.040,0.082,0.145,0.987,0.008,-0.018,-0.014,0.000,0.000,0.135,0.344,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
