condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,34,34,0,34,2847602.773,-0.707,-0.018,-0.138,0.693,887,1207,2851,1527,2987,2375,2615,2777,39,0.742,1,VALID,1633,1,6.171,0.334,4.938,-3.625,0.750,0.012,-0.066,1.012,0.328,-0.063,0.098,0.018,0.028,1.053,1.269,2,NULL,NULL,1168.000,2,0,2,7,255,1168,200,0,0
pre_stim,39,39,0,39,2847607.799,-0.707,-0.018,-0.138,0.693,713,1208,2863,1369,2991,2359,2644,2795,39,0.742,1,VALID,1633,1,5.095,0.357,3.188,-3.188,2.375,0.082,-0.074,1.023,0.328,0.141,0.148,0.020,0.028,1.053,1.269,2,NULL,NULL,,2,0,2,7,255,1168,200,0,0
pre_stim,44,44,0,44,2847612.773,-0.707,-0.018,-0.138,0.693,493,1193,2897,1243,3014,2335,2669,2797,39,0.742,1,VALID,1633,1,7.302,0.399,6.125,-2.375,3.188,0.016,-0.039,0.969,0.328,-0.227,0.148,0.020,0.028,1.053,1.269,2,NULL,NULL,,2,0,2,7,255,1168,200,0,0
pre_stim,49,49,0,49,2847617.815,-0.707,-0.018,-0.138,0.693,309,1191,2906,1063,3032,2315,2707,2826,39,0.742,1,VALID,1633,1,5.110,0.474,3.000,-3.688,1.875,0.066,-0.086,1.047,0.418,0.223,0.273,0.020,0.028,1.053,1.269,2,NULL,NULL,,2,0,2,7,255,1168,200,0,0
pre_stim,54,54,0,54,2847622.777,-0.707,-0.017,-0.138,0.694,83,1176,2926,856,3058,2276,2716,2815,39,0.742,1,VALID,1633,1,8.866,0.246,5.750,-1.813,6.500,0.070,-0.039,0.949,0.105,0.223,-0.281,0.020,0.030,1.053,1.269,2,NULL,NULL,,2,0,2,7,255,1168,200,0,0
pre_stim,58,58,0,58,2847627.770,-0.707,-0.017,-0.138,0.694,0,1139,2949,657,3068,2239,2736,2829,39,0.742,1,VALID,1633,1,9.387,0.587,7.875,-4.938,1.313,-0.008,-0.117,1.102,0.543,0.223,0.520,0.020,0.030,1.053,1.269,2,NULL,NULL,,2,0,2,7,255,1168,200,0,0
pre_stim,64,64,0,64,2847632.773,-0.707,-0.016,-0.137,0.694,0,1103,2957,403,3092,2203,2766,2847,39,0.742,1,VALID,1633,1,19.897,0.330,17.875,-6.688,5.625,0.113,0.027,0.961,0.105,0.313,-0.332,0.022,0.030,1.053,1.269,2,NULL,NULL,,2,0,2,7,255,1168,200,0,0
pre_stim,69,69,0,69,2847637.798,-0.707,-0.016,-0.138,0.694,0,1003,2985,197,3099,2153,2797,2860,39,0.742,1,VALID,1633,1,11.183,0.508,2.813,-10.625,2.063,-0.168,-0.031,1.039,0.008,-0.508,0.320,0.022,0.032,1.053,1.269,2,NULL,NULL,,2,0,2,7,255,1168,200,0,0
pre_stim,74,74,0,74,2847642.775,-0.706,-0.015,-0.138,0.694,0,918,3000,5,3113,2099,2825,2871,39,0.742,1,VALID,1633,1,11.891,0.738,3.438,-9.750,5.875,0.230,-0.059,1.004,0.008,0.738,0.168,0.022,0.032,1.053,1.269,2,NULL,NULL,,2,0,2,7,255,1168,200,0,0
pre_stim,79,79,0,79,2847647.813,-0.707,-0.015,-0.138,0.694,0,819,3013,0,3119,1993,2855,2873,39,0.742,1,VALID,1633,1,18.823,1.486,12.813,-12.875,-4.938,-0.082,-0.383,1.414,0.344,-1.445,0.320,0.022,0.032,1.053,1.269,2,NULL,NULL,,2,0,2,7,255,1168,200,0,0
