condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,29,29,0,29,5957633.413,-0.771,0.039,0.003,-0.635,2173,149,313,2672,539,1439,726,1513,44,0.000,1,VALID,3442,0,2.187,0.065,0.125,0.500,2.125,-0.051,0.090,0.996,0.063,-0.020,-0.043,0.000,0.000,0.935,0.984,3,NULL,NULL,1077.000,2,0,3,7,255,1077,300,0,0
pre_stim,34,34,0,34,5957638.415,-0.771,0.039,0.003,-0.635,2179,141,311,2681,539,1433,725,1512,44,0.000,1,VALID,3442,0,2.096,0.065,-1.375,-0.250,-1.563,-0.043,0.102,0.992,0.063,-0.020,-0.043,0.000,0.000,0.935,0.984,3,NULL,NULL,,2,0,3,7,255,1077,300,0,0
pre_stim,39,39,0,39,5957643.413,-0.771,0.039,0.003,-0.635,2172,127,307,2665,554,1421,714,1504,44,0.000,1,VALID,3442,0,1.077,0.065,-1.000,0.250,-0.313,-0.063,0.063,1.008,0.063,-0.020,-0.043,0.000,0.000,0.935,0.984,3,NULL,NULL,,2,0,3,7,255,1077,300,0,0
pre_stim,44,44,0,44,5957648.415,-0.771,0.039,0.003,-0.635,2170,107,294,2679,545,1420,715,1505,44,0.000,1,VALID,3442,0,1.242,0.118,-0.563,0.313,1.063,-0.055,0.094,0.992,0.113,0.031,-0.039,0.000,0.000,0.935,0.984,3,NULL,NULL,,2,0,3,7,255,1077,300,0,0
pre_stim,49,49,0,49,5957653.413,-0.771,0.039,0.003,-0.635,2168,93,287,2664,531,1417,711,1499,44,0.000,1,VALID,3442,0,1.592,0.091,-1.500,-0.188,-0.500,-0.047,0.074,1.004,-0.086,0.031,0.035,0.000,0.000,0.935,0.984,3,NULL,NULL,,2,0,3,7,255,1077,300,0,0
pre_stim,54,54,0,54,5957658.414,-0.771,0.039,0.003,-0.635,2168,89,285,2671,523,1415,709,1488,44,0.000,1,VALID,3442,0,0.931,0.087,-0.125,0.438,0.813,-0.051,0.090,0.996,0.086,0.012,-0.035,0.000,0.000,0.935,0.984,3,NULL,NULL,,2,0,3,7,255,1077,300,0,0
pre_stim,59,59,0,59,5957663.413,-0.771,0.039,0.003,-0.635,2169,86,280,2665,522,1403,699,1489,44,0.000,1,VALID,3442,0,1.626,0.086,-1.500,0.063,-0.625,-0.051,0.090,0.996,0.086,-0.008,-0.016,0.000,0.000,0.935,0.984,3,NULL,NULL,,2,0,3,7,255,1077,300,0,0
pre_stim,64,64,0,64,5957668.415,-0.771,0.039,0.003,-0.635,2171,85,282,2677,517,1402,683,1484,44,0.000,1,VALID,3442,0,0.693,0.086,-0.313,0.438,0.438,-0.051,0.078,1.000,0.086,-0.008,-0.016,0.000,0.000,0.935,0.984,3,NULL,NULL,,2,0,3,7,255,1077,300,0,0
pre_stim,69,69,0,69,5957673.413,-0.771,0.039,0.003,-0.635,2171,83,268,2662,507,1403,669,1468,44,0.000,1,VALID,3442,0,1.533,0.036,-1.188,0.250,-0.938,-0.043,0.082,0.992,0.023,-0.027,-0.016,0.000,0.000,0.935,0.984,3,NULL,NULL,,2,0,3,7,255,1077,300,0,0
pre_stim,74,74,0,74,5957678.415,-0.771,0.039,0.003,-0.635,2173,73,263,2664,503,1391,633,1475,44,0.000,1,VALID,3442,0,1.843,0.036,-1.188,0.313,-1.375,-0.055,0.086,1.000,0.023,-0.027,0.016,0.000,0.000,0.935,0.984,3,NULL,NULL,,2,0,3,7,255,1077,300,0,0
