condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,1,1,0,1,348761.397,0.482,0.062,0.114,0.867,2487,517,726,2972,2159,2525,1635,2477,26,0.223,1,VALID,57,1,5.276,0.405,-0.250,-4.375,-2.938,0.074,0.105,0.965,0.402,-0.043,0.074,0.022,0.036,0.362,0.410,2,NULL,NULL,1027.000,2,0,1,7,255,1027,300,0,0
pre_stim,5,5,0,5,348766.396,0.482,0.063,0.114,0.867,2471,529,749,2965,2175,2527,1641,2490,26,0.223,1,VALID,57,1,5.559,0.405,-1.188,-5.313,-1.125,0.137,-0.023,1.039,0.402,-0.043,0.074,0.022,0.036,0.362,0.410,2,NULL,NULL,,2,0,1,7,255,1027,300,0,0
pre_stim,11,11,0,11,348771.397,0.482,0.063,0.114,0.867,2459,533,764,2962,2193,2533,1659,2495,26,0.223,1,VALID,57,1,7.712,0.738,5.938,-3.188,-3.750,0.129,-0.020,1.055,-0.707,0.211,0.406,0.022,0.036,0.362,0.410,2,NULL,NULL,,2,0,1,7,255,1027,300,0,0
pre_stim,15,15,0,15,348776.395,0.481,0.062,0.116,0.867,2441,531,782,2951,2207,2535,1647,2513,26,0.223,1,VALID,57,1,33.395,0.814,30.063,-1.750,-14.438,0.207,-0.117,1.207,-0.758,0.297,0.566,0.024,0.038,0.362,0.410,2,NULL,NULL,,2,0,1,7,255,1027,300,0,0
pre_stim,21,21,0,21,348781.397,0.480,0.061,0.117,0.867,2419,533,808,2943,2219,2538,1670,2519,26,0.000,1,VALID,57,1,38.683,0.767,34.563,-2.063,-17.250,0.027,0.188,0.797,-0.707,0.297,0.566,0.024,0.038,0.362,0.410,2,NULL,NULL,,2,0,1,7,255,1027,300,0,0
pre_stim,25,25,0,25,348786.395,0.480,0.062,0.117,0.867,2405,532,827,2937,2231,2521,1675,2530,26,0.000,1,VALID,57,1,10.468,1.479,-9.500,-4.250,1.125,-0.031,0.355,0.766,1.461,-0.230,-1.941,0.024,0.038,0.362,0.410,2,NULL,NULL,,2,0,1,7,255,1027,300,0,0
pre_stim,31,31,0,31,348791.397,0.481,0.062,0.116,0.867,2387,533,853,2927,2247,2543,1669,2541,26,0.000,1,VALID,57,1,20.953,1.479,-11.375,-6.750,16.250,0.113,0.082,1.141,1.461,-0.230,-1.941,0.024,0.038,0.362,0.410,2,NULL,NULL,,2,0,1,7,255,1027,300,0,0
pre_stim,36,36,0,36,348796.397,0.481,0.063,0.117,0.867,2363,538,879,2921,2261,2548,1691,2550,26,0.000,1,VALID,57,1,9.139,0.196,7.375,-4.750,2.563,0.215,-0.176,1.043,0.195,0.012,0.438,0.024,0.038,0.362,0.410,2,NULL,NULL,,2,0,1,7,255,1027,300,0,0
pre_stim,41,41,0,41,348801.397,0.481,0.063,0.117,0.867,2343,549,937,2909,2271,2549,1691,2557,26,0.000,1,VALID,57,1,8.246,0.041,1.625,-3.313,-7.375,0.133,0.066,0.973,-0.039,0.012,0.438,0.024,0.040,0.362,0.410,2,NULL,NULL,,2,0,1,7,255,1027,300,0,0
pre_stim,45,45,0,45,348806.396,0.481,0.063,0.117,0.867,2324,551,975,2901,2291,2553,1703,2571,26,0.000,1,VALID,57,1,9.433,0.257,5.250,-5.188,-5.875,0.012,0.176,1.039,-0.039,0.254,0.387,0.024,0.040,0.362,0.410,2,NULL,NULL,,2,0,1,7,255,1027,300,0,0
pre_stim,51,51,0,51,348811.397,0.481,0.063,0.118,0.867,2299,553,1031,2888,2311,2553,1715,2583,26,0.000,1,VALID,57,1,12.476,0.257,8.313,-4.750,8.000,0.086,0.016,0.988,-0.039,0.254,-0.105,0.026,0.040,0.362,0.410,2,NULL,NULL,,2,0,1,7,255,1027,300,0,0
pre_stim,55,55,0,55,348816.395,0.481,0.063,0.118,0.867,2276,571,1080,2876,2328,2553,1737,2588,26,0.000,1,VALID,57,1,6.046,0.343,3.375,-4.313,2.563,0.160,0.031,0.988,-0.230,0.254,-0.004,0.026,0.040,0.362,0.410,2,NULL,NULL,,2,0,1,7,255,1027,300,0,0
pre_stim,61,61,0,61,348821.397,0.481,0.063,0.118,0.867,2245,572,1127,2861,2345,2554,1753,2597,26,0.000,1,VALID,57,1,7.992,0.361,3.438,-4.188,-5.875,0.145,0.086,0.996,-0.230,-0.277,-0.004,0.026,0.040,0.362,0.410,2,NULL,NULL,,2,0,1,7,255,1027,300,0,0
pre_stim,65,65,0,65,348826.395,0.480,0.063,0.118,0.867,2213,581,1177,2843,2363,2555,1771,2603,26,0.000,1,VALID,57,1,10.633,0.283,3.875,-4.750,-8.688,0.066,0.070,1.004,0.059,-0.277,0.051,0.026,0.040,0.362,0.410,2,NULL,NULL,,2,0,1,7,255,1027,300,0,0
