condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,3,3,0,3,23198.406,0.685,-0.103,0.012,-0.721,2964,829,851,2763,1943,0,181,2716,15,0.000,0,INTERVAL_OUT_OF_RANGE,2,1,1.326,0.152,0.063,-1.250,0.438,0.152,0.117,0.988,-0.152,0.004,0.121,0.000,0.000,0.000,0.000,2,NULL,NULL,1048.000,0,0,0,7,255,0,250,0,0
baseline,7,7,0,7,23203.405,0.685,-0.103,0.012,-0.721,2961,826,853,2761,1939,0,175,2717,15,0.000,0,INTERVAL_OUT_OF_RANGE,2,1,1.917,0.121,1.125,-1.000,1.188,0.156,0.102,0.977,0.121,0.004,0.031,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,13,13,0,13,23208.406,0.685,-0.103,0.012,-0.721,2953,824,852,2743,1949,0,172,2712,15,0.000,0,INTERVAL_OUT_OF_RANGE,2,1,2.070,0.122,1.063,-1.125,1.375,0.156,0.137,0.984,0.121,-0.012,0.031,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,17,17,0,17,23213.405,0.685,-0.103,0.012,-0.721,2937,814,855,2743,1955,0,171,2724,15,0.000,0,INTERVAL_OUT_OF_RANGE,2,1,1.641,0.070,0.375,-1.375,0.813,0.160,0.156,0.992,-0.070,-0.004,0.031,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,23,23,0,23,23218.407,0.685,-0.103,0.012,-0.721,2926,809,859,2733,1934,0,167,2723,15,0.000,0,INTERVAL_OUT_OF_RANGE,2,1,1.652,0.070,-0.438,-1.563,0.313,0.160,0.109,0.977,-0.070,-0.004,0.031,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,27,27,0,27,23223.405,0.685,-0.103,0.012,-0.721,2929,809,859,2727,1952,0,171,2709,15,0.000,0,INTERVAL_OUT_OF_RANGE,2,1,2.037,0.173,1.688,-1.125,0.188,0.156,0.102,0.965,0.168,0.043,-0.070,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,33,33,0,33,23228.407,0.685,-0.103,0.012,-0.722,2917,809,861,2712,1951,0,173,2713,15,0.000,0,INTERVAL_OUT_OF_RANGE,2,1,2.247,0.173,1.813,-0.875,1.000,0.152,0.172,0.996,0.168,0.043,-0.070,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,37,37,0,37,23233.405,0.685,-0.103,0.012,-0.722,2906,803,857,2714,1951,0,171,2708,15,0.000,0,INTERVAL_OUT_OF_RANGE,2,1,2.548,0.146,-1.938,-1.625,0.313,0.160,0.117,0.992,0.141,0.039,0.070,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,23238.406,0.685,-0.103,0.012,-0.722,2901,799,855,2701,1957,0,172,2707,15,0.000,0,INTERVAL_OUT_OF_RANGE,2,1,2.572,0.146,2.250,-1.188,0.375,0.160,0.094,0.953,0.141,0.039,0.070,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,47,23243.405,0.685,-0.103,0.012,-0.722,2903,798,855,2686,1956,0,175,2707,15,0.000,0,INTERVAL_OUT_OF_RANGE,2,1,2.248,0.146,1.875,-0.813,0.938,0.156,0.184,1.023,0.141,0.039,0.070,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,53,53,0,53,23248.406,0.685,-0.103,0.012,-0.722,2887,790,857,2681,1945,0,175,2705,15,0.000,0,INTERVAL_OUT_OF_RANGE,2,1,3.003,0.289,-2.375,-1.750,-0.563,0.164,0.070,0.965,0.277,0.082,-0.250,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,57,57,0,57,23253.405,0.685,-0.103,0.012,-0.722,2875,791,855,2678,1961,0,173,2703,15,0.000,0,INTERVAL_OUT_OF_RANGE,2,1,5.506,0.264,5.375,-0.813,0.875,0.160,0.152,0.969,-0.262,0.035,-0.078,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,63,23258.406,0.685,-0.103,0.012,-0.722,2869,789,856,2669,1961,0,172,2707,15,0.000,0,INTERVAL_OUT_OF_RANGE,2,1,3.003,0.035,-2.625,-1.250,-0.750,0.156,0.137,1.031,0.004,0.035,-0.078,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,67,67,0,67,23263.405,0.684,-0.103,0.012,-0.722,2861,781,864,2659,1969,0,175,2701,15,0.000,0,INTERVAL_OUT_OF_RANGE,2,1,4.001,0.035,3.688,-1.188,1.000,0.164,0.094,0.898,0.004,0.035,-0.078,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,73,73,0,73,23268.407,0.685,-0.103,0.012,-0.722,2852,775,861,2655,1961,0,173,2705,15,0.000,0,INTERVAL_OUT_OF_RANGE,2,1,1.113,0.098,-0.688,-0.875,0.000,0.156,0.188,1.070,0.004,-0.098,0.469,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,77,77,0,77,23273.405,0.684,-0.103,0.013,-0.722,2843,768,863,2651,1961,0,179,2697,15,0.000,0,INTERVAL_OUT_OF_RANGE,2,1,1.770,0.293,1.188,-1.313,0.000,0.172,0.055,0.891,0.215,0.199,-0.859,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,83,83,0,83,23278.407,0.685,-0.103,0.012,-0.722,2839,764,867,2642,1961,0,176,2699,15,0.000,0,INTERVAL_OUT_OF_RANGE,2,1,2.766,0.465,2.375,-0.938,-1.063,0.145,0.203,1.063,-0.422,-0.195,0.852,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,87,87,0,87,23283.405,0.685,-0.103,0.013,-0.722,2836,759,865,2637,1963,0,178,2697,15,0.000,0,INTERVAL_OUT_OF_RANGE,2,1,1.474,0.633,-0.875,-1.125,0.375,0.172,0.059,0.906,0.559,0.297,-0.797,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,93,93,0,93,23288.406,0.685,-0.103,0.012,-0.721,2839,754,867,2627,1961,0,181,2705,15,0.000,0,INTERVAL_OUT_OF_RANGE,2,1,3.449,0.540,3.125,-1.000,-1.063,0.145,0.188,1.047,-0.473,-0.262,0.676,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
