condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,0,0,0,0,1437782.387,-0.351,-0.401,-0.465,-0.707,0,0,134,0,0,0,0,46,50,1.001,1,VALID,878,0,284.278,11.704,-119.313,250.313,62.625,-0.797,0.652,0.578,10.480,5.211,-12.797,2.268,2.374,1.113,1.211,0,NULL,NULL,1090.000,2,0,2,7,255,1090,250,0,0
pre_stim,5,5,0,5,1437787.387,-0.357,-0.396,-0.457,-0.712,0,0,139,0,0,0,0,45,50,1.001,1,VALID,878,0,300.607,11.181,-108.438,270.063,75.313,-0.699,0.617,0.496,10.332,4.273,-12.191,2.280,2.386,1.113,1.211,0,NULL,NULL,,2,0,2,7,255,1090,250,0,0
pre_stim,9,9,0,9,1437792.386,-0.364,-0.389,-0.448,-0.718,0,0,123,0,0,0,0,51,50,1.001,1,VALID,878,0,319.770,10.201,-107.500,288.375,86.813,-0.555,0.492,0.410,9.566,3.543,-11.664,2.292,2.398,1.113,1.211,0,NULL,NULL,,2,0,2,7,255,1090,250,0,0
pre_stim,15,15,0,15,1437797.387,-0.370,-0.383,-0.438,-0.724,0,0,121,0,0,0,0,55,50,1.001,1,VALID,878,0,332.103,8.216,-110.750,300.563,87.688,-0.348,0.473,0.297,7.648,3.000,-11.125,2.306,2.410,1.113,1.211,0,NULL,NULL,,2,0,2,7,255,1090,250,0,0
pre_stim,19,19,0,19,1437802.386,-0.376,-0.376,-0.429,-0.731,0,0,123,0,0,0,0,59,50,1.001,1,VALID,878,0,341.908,6.440,-117.250,312.250,75.188,-0.176,0.363,0.199,6.242,1.582,-9.898,2.318,2.424,1.113,1.211,0,NULL,NULL,,2,0,2,7,255,1090,250,0,0
pre_stim,25,25,0,25,1437807.387,-0.382,-0.368,-0.418,-0.737,0,0,117,0,0,0,0,56,50,1.001,1,VALID,878,0,355.365,4.357,-137.938,321.188,64.000,-0.070,0.238,0.059,4.297,0.723,-9.387,2.334,2.440,1.113,1.211,0,NULL,NULL,,2,0,2,7,255,1090,250,0,0
pre_stim,29,29,0,29,1437812.386,-0.386,-0.361,-0.407,-0.745,0,0,109,0,0,0,0,57,50,1.001,1,VALID,878,0,368.704,3.044,-165.563,326.063,47.063,0.051,0.406,-0.051,3.031,-0.281,-9.215,2.352,2.458,1.113,1.211,0,NULL,NULL,,2,0,2,7,255,1090,250,0,0
pre_stim,35,35,0,35,1437817.387,-0.390,-0.354,-0.395,-0.753,0,0,109,0,0,0,0,57,50,1.001,1,VALID,878,0,387.924,2.765,-198.313,332.313,26.938,0.035,0.309,0.031,2.469,-1.246,-8.578,2.372,2.478,1.113,1.211,0,NULL,NULL,,2,0,2,7,255,1090,250,0,0
pre_stim,40,40,0,40,1437822.387,-0.393,-0.347,-0.381,-0.762,0,0,105,0,0,0,0,56,50,1.001,1,VALID,878,0,407.587,2.881,-230.563,335.750,15.500,0.023,0.234,0.305,2.598,-1.246,-8.531,2.396,2.500,1.113,1.211,0,NULL,NULL,,2,0,2,7,255,1090,250,0,0
pre_stim,45,45,0,45,1437827.387,-0.394,-0.339,-0.367,-0.771,0,0,103,0,0,0,0,59,50,1.001,1,VALID,878,0,414.071,2.839,-241.375,336.438,-1.625,0.027,0.273,0.586,2.598,1.145,-7.316,2.420,2.526,1.113,1.211,0,NULL,NULL,,2,0,2,7,255,1090,250,0,0
