condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_speedInvalidReason,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,4,4,0,4,262375.404,0.463,0.022,0.072,0.883,0,0,0,0,0,0,0,0,0,0.000,0,NO_ZUPT,0,0,3.755,0.219,3.750,-0.063,0.188,0.008,0.008,1.000,-0.215,-0.043,-0.012,0.000,0.000,0.000,0.000,0,NULL,NULL,1094.000,2,0,3,7,255,1094,150,0,0
pre_stim,9,9,0,9,262380.426,0.463,0.021,0.072,0.883,0,0,0,0,0,0,0,0,0,0.000,0,NO_ZUPT,0,0,1.324,0.219,1.313,0.125,0.125,-0.020,0.070,1.004,-0.215,-0.043,-0.012,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,3,7,255,1094,150,0,0
pre_stim,13,13,0,13,262385.390,0.463,0.022,0.072,0.883,0,0,0,0,0,0,0,0,0,0.000,0,NO_ZUPT,0,0,3.131,0.061,-3.125,0.063,-0.188,-0.004,0.027,1.004,0.027,-0.055,0.012,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,3,7,255,1094,150,0,0
pre_stim,19,19,0,19,262390.430,0.463,0.022,0.072,0.883,0,0,0,0,0,0,0,0,0,0.000,0,NO_ZUPT,0,0,1.092,0.061,-0.938,-0.500,-0.250,-0.008,-0.016,0.996,0.027,-0.055,0.012,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,3,7,255,1094,150,0,0
pre_stim,24,24,0,24,262395.419,0.463,0.022,0.072,0.883,0,0,0,0,0,0,0,0,0,0.000,0,NO_ZUPT,0,0,1.760,0.028,1.625,0.563,0.375,-0.008,0.023,1.004,0.027,-0.008,0.012,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,3,7,255,1094,150,0,0
pre_stim,28,28,0,28,262400.390,0.463,0.022,0.072,0.883,0,0,0,0,0,0,0,0,0,0.000,0,NO_ZUPT,0,0,1.120,0.036,-1.000,-0.438,-0.250,-0.008,0.051,1.000,0.035,-0.008,0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,3,7,255,1094,150,0,0
pre_stim,33,33,0,33,262405.399,0.463,0.022,0.072,0.883,0,0,0,0,0,0,0,0,0,0.000,0,NO_ZUPT,0,0,2.638,0.036,-2.625,0.250,-0.063,-0.012,0.008,1.000,0.035,-0.008,0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,3,7,255,1094,150,0,0
pre_stim,39,39,0,39,262410.424,0.463,0.022,0.072,0.883,0,0,0,0,0,0,0,0,0,0.000,0,NO_ZUPT,0,0,0.888,0.137,0.750,-0.438,-0.188,0.000,-0.008,1.000,-0.082,0.109,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,3,7,255,1094,150,0,0
pre_stim,44,44,0,44,262415.405,0.463,0.022,0.072,0.883,0,0,0,0,0,0,0,0,0,0.000,0,NO_ZUPT,0,0,2.386,0.137,2.313,0.500,0.313,-0.012,0.031,1.000,-0.082,0.109,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,3,7,255,1094,150,0,0
pre_stim,49,49,0,49,262420.433,0.463,0.022,0.072,0.883,0,0,0,0,0,0,0,0,0,0.000,0,NO_ZUPT,0,0,0.472,0.123,-0.313,-0.250,-0.250,-0.004,0.047,1.004,0.121,-0.020,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,3,7,255,1094,150,0,0
