condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,36,36,0,83794.147,0.951,-0.272,-0.146,0.016,41,59,71,31,46,0,73,27,0,0.000,0,0,88.999,0.386,85.800,-12.740,19.920,-0.276,0.451,0.789,0.154,-0.354,-0.502,0.000,0.000,0.000,0.000,0,NULL,NULL,1138.000,2,0,3,7,255,1138,200,4,0
pre_stim,36,36,0,83799.146,0.950,-0.275,-0.145,0.016,41,67,86,38,51,6,70,37,0,0.000,0,0,84.487,0.354,80.980,-10.620,21.620,-0.287,0.459,0.777,0.012,-0.354,-0.534,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,3,7,255,1138,200,9,0
pre_stim,36,36,0,83804.146,0.949,-0.279,-0.144,0.016,61,95,52,37,55,0,45,11,0,0.000,0,0,81.108,0.335,77.440,-7.560,22.900,-0.291,0.480,0.757,-0.126,-0.310,-0.562,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,3,7,255,1138,200,14,0
pre_stim,36,36,0,83809.145,0.948,-0.282,-0.144,0.015,81,89,55,65,17,0,79,28,0,0.000,0,0,78.208,0.194,74.460,-3.660,23.640,-0.283,0.494,0.741,-0.168,-0.098,-0.604,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,3,7,255,1138,200,19,0
pre_stim,37,37,0,83814.146,0.948,-0.285,-0.143,0.015,43,61,77,35,43,3,60,13,0,0.000,0,0,75.613,0.182,71.880,-0.540,23.460,-0.273,0.492,0.749,-0.168,-0.070,-0.652,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,3,7,255,1138,200,24,0
pre_stim,37,37,0,83819.146,0.947,-0.288,-0.143,0.014,75,91,54,41,39,0,31,11,0,0.000,0,0,76.164,0.094,72.260,0.740,24.060,-0.271,0.484,0.758,-0.062,-0.070,-0.652,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,3,7,255,1138,200,29,0
pre_stim,62,62,0,83824.146,0.946,-0.291,-0.143,0.014,47,59,81,37,40,12,37,37,0,0.000,0,0,76.146,0.109,71.700,1.720,25.580,-0.289,0.504,0.747,-0.062,-0.090,-0.634,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,3,7,255,1138,200,34,0
pre_stim,62,62,0,83829.146,0.945,-0.294,-0.143,0.013,48,67,85,73,25,0,69,44,0,0.000,0,0,75.919,0.232,70.300,5.020,28.220,-0.297,0.512,0.726,-0.214,-0.090,-0.634,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,3,7,255,1138,200,39,0
pre_stim,62,62,0,83834.146,0.944,-0.298,-0.143,0.012,57,72,55,29,40,0,53,16,0,0.000,0,0,76.318,0.347,69.500,10.640,29.680,-0.304,0.509,0.705,-0.346,0.020,-0.666,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,3,7,255,1138,200,44,0
pre_stim,62,62,0,83839.146,0.943,-0.301,-0.143,0.011,84,87,57,64,22,0,37,45,0,0.000,0,0,78.365,0.436,69.820,17.220,31.140,-0.301,0.511,0.705,-0.436,0.020,-0.814,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,3,7,255,1138,200,49,0
