condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,25,25,0,44064.076,0.673,0.070,-0.105,-0.729,2253,458,1189,2413,1263,1351,1350,856,42,0.000,6,0,5.456,0.422,3.220,1.260,-4.220,-0.095,0.073,0.906,-0.208,-0.272,0.246,0.000,0.000,0.000,0.000,3,NULL,NULL,1181.000,0,0,0,7,255,0,250,0,0
baseline,25,25,0,44069.076,0.673,0.070,-0.105,-0.729,2249,453,1179,2419,1263,1352,1344,857,42,0.000,6,0,8.345,0.713,-7.940,2.180,-1.360,-0.116,0.084,0.978,-0.268,-0.660,-0.040,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,25,25,0,44074.076,0.673,0.070,-0.104,-0.729,2235,440,1177,2411,1273,1355,1342,859,42,0.000,6,0,6.066,0.693,-5.620,1.380,1.820,-0.081,0.078,1.038,-0.208,-0.660,-0.040,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,25,25,0,44079.076,0.673,0.070,-0.104,-0.729,2228,438,1176,2408,1272,1351,1349,860,42,0.000,6,0,2.416,0.300,0.240,1.940,-1.420,-0.053,0.073,0.992,-0.204,-0.216,-0.040,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,48,48,0,44084.076,0.673,0.070,-0.104,-0.729,2228,439,1177,2399,1271,1351,1337,858,42,0.000,6,0,5.182,0.322,0.060,2.000,-4.780,-0.090,0.072,1.002,-0.202,-0.216,0.128,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,48,48,0,44089.076,0.673,0.070,-0.104,-0.729,2229,429,1177,2409,1299,1353,1352,867,42,0.000,6,0,4.788,0.443,3.480,0.840,-3.180,-0.099,0.059,1.012,-0.156,-0.394,0.128,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,48,48,0,44094.076,0.673,0.070,-0.104,-0.729,2219,420,1177,2404,1271,1341,1342,871,42,0.000,6,0,2.492,0.491,-1.220,1.940,-0.980,-0.104,0.071,0.926,-0.156,-0.448,0.128,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,48,48,0,44099.076,0.673,0.070,-0.104,-0.729,2207,415,1179,2391,1279,1338,1339,869,42,0.000,6,0,7.115,0.537,-6.540,2.180,1.760,-0.081,0.126,1.015,-0.184,-0.448,0.232,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,44104.076,0.673,0.070,-0.104,-0.729,2214,410,1177,2394,1277,1336,1342,873,42,0.000,6,0,2.063,0.448,-1.160,1.680,0.300,-0.081,0.070,1.019,-0.184,-0.314,0.262,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,44109.076,0.673,0.070,-0.103,-0.729,2204,409,1176,2387,1272,1339,1337,872,42,0.000,6,0,2.685,0.432,-2.200,1.380,-0.680,-0.080,0.024,0.972,-0.140,-0.314,0.262,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,80,80,0,44114.076,0.673,0.070,-0.103,-0.729,2192,404,1177,2375,1283,1335,1339,877,42,0.000,6,0,4.616,0.445,-3.800,2.120,-1.540,-0.089,0.125,1.010,-0.140,-0.350,0.236,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,80,80,0,44119.076,0.673,0.070,-0.103,-0.729,2191,397,1187,2381,1288,1332,1356,876,42,0.000,6,0,3.291,0.540,-2.200,1.760,1.700,-0.101,0.090,0.985,-0.344,-0.416,0.000,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,80,80,0,44124.076,0.673,0.070,-0.103,-0.729,2189,390,1168,2374,1275,1329,1324,870,42,0.000,6,0,5.366,0.541,-5.140,1.500,0.360,-0.079,0.040,0.998,-0.344,-0.416,0.038,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,80,80,0,44129.076,0.673,0.070,-0.103,-0.729,2176,383,1167,2365,1279,1321,1327,878,42,0.000,6,0,4.602,0.404,-3.860,2.360,0.840,-0.073,0.081,1.017,-0.272,-0.296,0.038,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,80,80,0,44134.076,0.673,0.070,-0.102,-0.729,2173,376,1171,2358,1285,1319,1325,879,42,0.000,6,0,3.539,0.323,-2.380,0.900,-2.460,-0.091,0.062,1.000,-0.084,-0.296,0.098,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,80,80,0,44139.076,0.673,0.070,-0.102,-0.729,2163,369,1165,2349,1287,1317,1325,883,42,0.000,6,0,3.238,0.517,-2.260,2.240,0.600,-0.102,0.086,0.997,-0.272,-0.424,0.118,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,96,96,0,44144.076,0.673,0.070,-0.102,-0.729,2157,365,1171,2347,1280,1305,1323,879,42,0.000,6,0,4.729,0.443,-4.640,0.900,-0.140,-0.083,0.052,0.981,-0.084,-0.424,0.098,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,96,96,0,44149.076,0.673,0.070,-0.102,-0.729,2147,359,1165,2332,1291,1309,1318,882,42,0.000,6,0,4.050,0.517,-3.420,2.000,0.840,-0.089,0.091,1.018,-0.316,-0.392,0.118,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,112,112,0,44154.076,0.673,0.070,-0.102,-0.729,2135,353,1163,2341,1279,1299,1320,880,42,0.000,6,0,4.180,0.391,-4.100,0.780,0.240,-0.079,0.029,0.989,-0.010,-0.388,-0.050,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
