condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,25,25,0,20820.060,0.383,-0.920,0.069,0.050,3052,1443,1525,1567,1630,1885,1617,1776,6,0.000,2,1,13.271,0.186,13.220,0.680,0.940,-0.050,0.715,-0.709,-0.032,-0.108,0.148,0.000,0.000,0.000,0.000,3,NULL,NULL,1206.000,0,0,0,7,255,0,250,0,0
baseline,25,25,0,20825.060,0.383,-0.920,0.069,0.050,3059,1449,1540,1571,1623,1887,1605,1749,6,0.000,2,1,14.582,0.139,14.500,0.800,1.320,-0.048,0.710,-0.711,-0.032,-0.050,0.126,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,25,25,0,20830.062,0.382,-0.920,0.069,0.050,3046,1445,1543,1555,1647,1875,1614,1759,6,0.000,2,1,14.936,0.109,14.800,0.360,1.980,-0.042,0.700,-0.708,-0.032,-0.010,0.104,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,25,25,0,20835.060,0.382,-0.920,0.069,0.050,3038,1433,1544,1588,1623,1869,1607,1775,6,0.000,2,1,14.688,0.023,14.500,0.060,2.340,-0.045,0.694,-0.713,0.000,0.018,0.014,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,31,31,0,20840.060,0.381,-0.921,0.069,0.050,3047,1435,1553,1589,1610,1875,1575,1754,6,0.000,2,1,13.819,0.080,13.640,0.000,2.220,-0.048,0.687,-0.708,0.000,0.080,0.006,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,31,31,0,20845.060,0.381,-0.921,0.069,0.050,3043,1422,1556,1575,1627,1864,1579,1756,6,0.000,2,1,12.115,0.106,11.940,0.240,2.040,-0.051,0.684,-0.716,-0.030,0.094,-0.040,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,20850.058,0.380,-0.921,0.069,0.050,3029,1419,1555,1567,1609,1849,1575,1756,6,0.000,2,1,10.843,0.137,10.600,0.120,2.280,-0.052,0.685,-0.712,-0.042,0.116,-0.060,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,20855.060,0.380,-0.921,0.069,0.050,3033,1415,1565,1541,1589,1847,1555,1719,6,0.000,2,1,8.308,0.140,8.020,0.180,2.160,-0.050,0.685,-0.707,-0.050,0.116,-0.060,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,80,80,0,20860.059,0.380,-0.921,0.069,0.050,3008,1400,1563,1534,1575,1831,1531,1696,6,0.000,2,1,6.111,0.109,5.700,0.440,2.160,-0.050,0.690,-0.711,-0.050,0.076,-0.060,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,80,80,0,20865.060,0.380,-0.921,0.069,0.050,3003,1399,1567,1509,1565,1818,1533,1692,6,0.000,2,1,4.015,0.085,3.640,0.500,1.620,-0.059,0.696,-0.713,-0.050,0.062,-0.030,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,80,80,0,20870.060,0.379,-0.921,0.070,0.050,3015,1397,1577,1529,1574,1813,1563,1719,6,0.000,2,1,4.005,0.078,3.200,1.280,2.040,-0.050,0.698,-0.716,-0.058,0.042,0.030,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,80,80,0,20875.060,0.379,-0.921,0.070,0.050,3001,1385,1581,1503,1543,1791,1509,1693,6,0.000,2,1,4.207,0.088,3.760,1.520,1.120,-0.049,0.708,-0.712,-0.060,0.028,0.058,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
